,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
185,185,24.0,Dangerous,dang5,0,0,0,0,0,0,0
201,201,25.0,Dangerous,dang5,3,0,0,0,0,0,0
218,218,26.0,Dangerous,dang5,11,0,1,0,0,0,1
236,236,27.0,Dangerous,dang5,18,0,2,0,0,0,2
254,254,28.0,Dangerous,dang5,24,0,3,1,0,0,4
273,273,29.0,Dangerous,dang5,27,0,4,1,0,0,5
293,293,30.0,Dangerous,dang5,30,0,5,1,1,0,7
313,313,31.0,Dangerous,dang5,32,0,5,1,1,0,7
334,334,32.0,Dangerous,dang5,37,0,6,1,1,0,8
336,336,32.0,Dangerous,dang7,0,0,0,0,0,0,0
356,356,33.0,Dangerous,dang5,39,0,6,1,1,0,8
358,358,33.0,Dangerous,dang7,3,0,0,0,0,0,0
379,379,34.0,Dangerous,dang5,44,0,6,1,1,0,8
381,381,34.0,Dangerous,dang7,11,0,0,0,0,0,0
403,403,35.0,Dangerous,dang5,53,0,6,1,1,0,8
405,405,35.0,Dangerous,dang7,22,0,1,0,0,0,1
427,427,36.0,Dangerous,dang5,63,0,6,1,1,0,8
429,429,36.0,Dangerous,dang7,34,0,2,0,0,0,2
452,452,37.0,Dangerous,dang5,74,0,6,1,1,0,8
454,454,37.0,Dangerous,dang7,47,0,2,0,0,0,2
478,478,38.0,Dangerous,dang5,85,0,7,1,1,0,9
480,480,38.0,Dangerous,dang7,60,0,3,0,0,0,3
505,505,39.0,Dangerous,dang5,95,0,8,1,1,0,10
507,507,39.0,Dangerous,dang7,73,0,4,0,0,0,4
532,532,40.0,Dangerous,dang5,104,0,9,1,1,0,11
534,534,40.0,Dangerous,dang7,86,0,4,0,0,0,4
560,560,41.0,Dangerous,dang5,110,0,10,1,1,0,12
562,562,41.0,Dangerous,dang7,100,0,4,0,0,0,4
589,589,42.0,Dangerous,dang5,115,0,11,1,1,0,13
591,591,42.0,Dangerous,dang7,113,0,5,0,0,0,5
620,620,43.0,Dangerous,dang5,118,0,12,1,2,0,15
622,622,43.0,Dangerous,dang7,126,0,6,0,0,0,6
651,651,44.0,Dangerous,dang5,120,0,13,1,3,0,17
653,653,44.0,Dangerous,dang7,139,0,7,0,0,0,7
683,683,45.0,Dangerous,dang5,121,0,13,1,3,0,17
685,685,45.0,Dangerous,dang7,152,0,8,0,0,0,8
716,716,46.0,Dangerous,dang5,126,0,13,1,3,0,17
718,718,46.0,Dangerous,dang7,164,0,9,0,0,0,9
749,749,47.0,Dangerous,dang5,128,0,13,1,3,0,17
751,751,47.0,Dangerous,dang7,176,0,10,0,0,0,10
783,783,48.0,Dangerous,dang5,134,0,13,1,3,0,17
785,785,48.0,Dangerous,dang7,187,0,11,0,0,0,11
817,817,49.0,Dangerous,dang5,143,0,13,1,3,0,17
819,819,49.0,Dangerous,dang7,197,0,12,0,0,0,12
852,852,50.0,Dangerous,dang5,155,0,14,1,3,0,18
854,854,50.0,Dangerous,dang7,206,0,13,0,0,0,13
888,888,51.0,Dangerous,dang5,166,0,14,1,3,0,18
890,890,51.0,Dangerous,dang7,213,0,14,0,0,0,14
925,925,52.0,Dangerous,dang5,178,0,14,1,3,0,18
927,927,52.0,Dangerous,dang7,219,0,15,0,0,0,15
963,963,53.0,Dangerous,dang5,188,0,14,1,3,0,18
965,965,53.0,Dangerous,dang7,223,0,16,0,0,0,16
1002,1002,54.0,Dangerous,dang5,197,0,15,1,3,0,19
1004,1004,54.0,Dangerous,dang7,225,0,17,0,1,0,18
1042,1042,55.0,Dangerous,dang5,204,0,16,1,3,0,20
1044,1044,55.0,Dangerous,dang7,228,0,17,0,1,0,18
1083,1083,56.0,Dangerous,dang5,209,0,17,1,3,0,21
1085,1085,56.0,Dangerous,dang7,232,0,17,0,1,0,18
1125,1125,57.0,Dangerous,dang5,213,0,18,1,3,0,22
1127,1127,57.0,Dangerous,dang7,234,0,17,0,1,0,18
1168,1168,58.0,Dangerous,dang5,215,0,19,1,3,0,23
1170,1170,58.0,Dangerous,dang7,240,0,17,0,1,0,18
1211,1211,59.0,Dangerous,dang5,217,0,19,1,3,0,23
1213,1213,59.0,Dangerous,dang7,248,0,17,0,1,0,18
1255,1255,60.0,Dangerous,dang5,221,0,19,1,3,0,23
1257,1257,60.0,Dangerous,dang7,260,0,18,0,1,0,19
1299,1299,61.0,Dangerous,dang5,223,0,19,1,3,0,23
1301,1301,61.0,Dangerous,dang7,273,0,18,0,1,0,19
1344,1344,62.0,Dangerous,dang5,229,0,19,1,3,0,23
1346,1346,62.0,Dangerous,dang7,286,0,18,0,1,0,19
1390,1390,63.0,Dangerous,dang5,238,0,19,1,3,0,23
1392,1392,63.0,Dangerous,dang7,296,0,19,0,1,0,20
1437,1437,64.0,Dangerous,dang5,246,0,20,1,3,0,24
1439,1439,64.0,Dangerous,dang7,306,0,20,0,1,0,21
1484,1484,65.0,Dangerous,dang5,256,0,21,1,3,0,25
1486,1486,65.0,Dangerous,dang7,313,0,21,0,1,0,22
1532,1532,66.0,Dangerous,dang5,264,0,21,1,3,0,25
1534,1534,66.0,Dangerous,dang7,318,0,22,0,1,0,23
1581,1581,67.0,Dangerous,dang5,272,0,21,1,3,0,25
1583,1583,67.0,Dangerous,dang7,322,0,23,0,1,0,24
1631,1631,68.0,Dangerous,dang5,279,0,21,1,3,0,25
1633,1633,68.0,Dangerous,dang7,324,0,24,0,2,0,26
1681,1681,69.0,Dangerous,dang5,286,0,21,1,3,0,25
1683,1683,69.0,Dangerous,dang7,326,0,25,0,3,0,28
1732,1732,70.0,Dangerous,dang5,293,1,21,1,3,0,26
1734,1734,70.0,Dangerous,dang7,328,0,26,0,4,0,30
1784,1784,71.0,Dangerous,dang5,299,1,22,1,3,0,27
1786,1786,71.0,Dangerous,dang7,328,0,26,0,5,0,31
1837,1837,72.0,Dangerous,dang5,308,1,23,1,3,0,28
1839,1839,72.0,Dangerous,dang7,329,0,26,0,6,0,32
1890,1890,73.0,Dangerous,dang5,316,1,24,1,3,0,29
1892,1892,73.0,Dangerous,dang7,329,0,26,0,7,0,33
1944,1944,74.0,Dangerous,dang5,325,1,25,1,3,0,30
1946,1946,74.0,Dangerous,dang7,329,0,26,0,8,0,34
1999,1999,75.0,Dangerous,dang5,332,1,26,1,3,0,31
2001,2001,75.0,Dangerous,dang7,329,0,26,0,9,0,35
2055,2055,76.0,Dangerous,dang5,338,1,27,1,3,0,32
2057,2057,76.0,Dangerous,dang7,329,0,26,0,9,0,35
2111,2111,77.0,Dangerous,dang5,342,1,28,1,3,0,33
2113,2113,77.0,Dangerous,dang7,332,0,26,0,9,0,35
2168,2168,78.0,Dangerous,dang5,345,1,29,1,3,0,34
2170,2170,78.0,Dangerous,dang7,337,0,27,0,9,0,36
2225,2225,79.0,Dangerous,dang5,347,1,30,1,4,0,36
2227,2227,79.0,Dangerous,dang7,343,0,27,0,9,0,36
2283,2283,80.0,Dangerous,dang5,348,1,30,1,4,0,36
2285,2285,80.0,Dangerous,dang7,351,0,28,0,9,0,37
2342,2342,81.0,Dangerous,dang5,352,1,30,1,4,0,36
2344,2344,81.0,Dangerous,dang7,361,0,29,0,9,0,38
2402,2402,82.0,Dangerous,dang5,354,1,30,1,4,0,36
2404,2404,82.0,Dangerous,dang7,373,0,30,0,9,0,39
2463,2463,83.0,Dangerous,dang5,359,1,30,1,4,0,36
2465,2465,83.0,Dangerous,dang7,385,0,30,0,9,0,39
2525,2525,84.0,Dangerous,dang5,367,2,30,1,4,0,37
2527,2527,84.0,Dangerous,dang7,398,0,30,0,9,0,39
2587,2587,85.0,Dangerous,dang5,376,2,30,1,4,0,37
2589,2589,85.0,Dangerous,dang7,411,0,31,0,9,0,40
2650,2650,86.0,Dangerous,dang5,388,2,30,1,4,0,37
2652,2652,86.0,Dangerous,dang7,425,0,31,0,9,0,40
2714,2714,87.0,Dangerous,dang5,402,3,30,1,4,0,38
2716,2716,87.0,Dangerous,dang7,438,0,31,0,9,0,40
2779,2779,88.0,Dangerous,dang5,417,4,30,1,4,0,39
2781,2781,88.0,Dangerous,dang7,450,0,31,0,9,0,40
2844,2844,89.0,Dangerous,dang5,433,5,30,1,4,0,40
2846,2846,89.0,Dangerous,dang7,463,0,31,0,9,0,40
2910,2910,90.0,Dangerous,dang5,445,5,31,1,4,0,41
