,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
29,29,10.0,Dangerous,dang2,0,0,0,0,0,0,0
37,37,11.0,Dangerous,dang2,3,0,0,0,0,0,0
45,45,12.0,Dangerous,dang2,4,0,0,0,0,0,0
53,53,13.0,Dangerous,dang2,4,0,0,0,0,0,0
62,62,14.0,Dangerous,dang2,4,0,0,0,0,0,0
71,71,15.0,Dangerous,dang2,4,0,0,0,0,0,0
80,80,16.0,Dangerous,dang2,4,0,0,0,0,0,0
90,90,17.0,Dangerous,dang2,4,0,0,0,0,0,0
101,101,18.0,Dangerous,dang2,4,0,0,0,0,0,0
113,113,19.0,Dangerous,dang2,4,0,0,0,0,0,0
125,125,20.0,Dangerous,dang2,4,0,0,0,0,0,0
138,138,21.0,Dangerous,dang2,4,0,0,0,0,0,0
152,152,22.0,Dangerous,dang2,4,0,0,0,0,0,0
167,167,23.0,Dangerous,dang2,4,0,0,0,0,0,0
182,182,24.0,Dangerous,dang2,4,0,0,0,0,0,0
198,198,25.0,Dangerous,dang2,4,0,0,0,0,0,0
215,215,26.0,Dangerous,dang2,4,0,0,0,0,0,0
233,233,27.0,Dangerous,dang2,4,0,0,0,0,0,0
251,251,28.0,Dangerous,dang2,4,0,0,0,0,0,0
270,270,29.0,Dangerous,dang2,4,0,0,0,0,0,0
290,290,30.0,Dangerous,dang2,4,0,0,0,0,0,0
310,310,31.0,Dangerous,dang2,4,0,0,0,0,0,0
331,331,32.0,Dangerous,dang2,4,0,0,0,0,0,0
353,353,33.0,Dangerous,dang2,4,0,0,0,0,0,0
376,376,34.0,Dangerous,dang2,4,0,0,0,0,0,0
400,400,35.0,Dangerous,dang2,4,0,0,0,0,0,0
424,424,36.0,Dangerous,dang2,4,0,0,0,0,0,0
449,449,37.0,Dangerous,dang2,4,0,0,0,0,0,0
475,475,38.0,Dangerous,dang2,4,0,0,0,0,0,0
502,502,39.0,Dangerous,dang2,4,0,0,0,0,0,0
529,529,40.0,Dangerous,dang2,4,0,0,0,0,0,0
557,557,41.0,Dangerous,dang2,4,0,0,0,0,0,0
586,586,42.0,Dangerous,dang2,4,0,0,0,0,0,0
617,617,43.0,Dangerous,dang2,4,0,0,0,0,0,0
648,648,44.0,Dangerous,dang2,4,0,0,0,0,0,0
680,680,45.0,Dangerous,dang2,4,0,0,0,0,0,0
713,713,46.0,Dangerous,dang2,4,0,0,0,0,0,0
746,746,47.0,Dangerous,dang2,4,0,0,0,0,0,0
780,780,48.0,Dangerous,dang2,4,0,0,0,0,0,0
814,814,49.0,Dangerous,dang2,4,0,0,0,0,0,0
849,849,50.0,Dangerous,dang2,4,0,0,0,0,0,0
885,885,51.0,Dangerous,dang2,4,0,0,0,0,0,0
922,922,52.0,Dangerous,dang2,4,0,0,0,0,0,0
960,960,53.0,Dangerous,dang2,7,0,0,0,0,0,0
999,999,54.0,Dangerous,dang2,9,0,0,0,0,0,0
1039,1039,55.0,Dangerous,dang2,13,1,0,0,0,0,1
1080,1080,56.0,Dangerous,dang2,17,1,0,0,0,0,1
1122,1122,57.0,Dangerous,dang2,25,1,0,0,0,0,1
1165,1165,58.0,Dangerous,dang2,37,1,0,0,0,0,1
1208,1208,59.0,Dangerous,dang2,51,1,0,0,0,0,1
1252,1252,60.0,Dangerous,dang2,65,1,0,0,0,0,1
1296,1296,61.0,Dangerous,dang2,80,1,0,0,0,0,1
1341,1341,62.0,Dangerous,dang2,94,1,0,0,0,0,1
1387,1387,63.0,Dangerous,dang2,109,1,0,0,0,0,1
1434,1434,64.0,Dangerous,dang2,123,1,0,0,0,0,1
1481,1481,65.0,Dangerous,dang2,137,1,0,0,0,0,1
1529,1529,66.0,Dangerous,dang2,152,1,1,0,0,0,2
1578,1578,67.0,Dangerous,dang2,166,1,1,0,0,0,2
1628,1628,68.0,Dangerous,dang2,183,1,1,0,0,0,2
1678,1678,69.0,Dangerous,dang2,201,2,1,0,0,0,3
1729,1729,70.0,Dangerous,dang2,220,3,1,0,0,0,4
1781,1781,71.0,Dangerous,dang2,240,4,1,0,0,0,5
1834,1834,72.0,Dangerous,dang2,260,5,1,0,0,0,6
1887,1887,73.0,Dangerous,dang2,276,5,1,0,0,0,6
1941,1941,74.0,Dangerous,dang2,291,5,1,0,0,0,6
1996,1996,75.0,Dangerous,dang2,304,5,1,0,0,0,6
2052,2052,76.0,Dangerous,dang2,314,5,1,0,0,0,6
2108,2108,77.0,Dangerous,dang2,321,5,1,0,0,0,6
2165,2165,78.0,Dangerous,dang2,325,5,1,0,0,0,6
2222,2222,79.0,Dangerous,dang2,327,5,1,0,0,0,6
2280,2280,80.0,Dangerous,dang2,327,5,1,0,0,0,6
2339,2339,81.0,Dangerous,dang2,329,5,1,0,0,0,6
2399,2399,82.0,Dangerous,dang2,330,5,1,0,0,0,6
2460,2460,83.0,Dangerous,dang2,330,5,1,0,0,0,6
2521,2521,84.0,Dangerous,dang2,330,5,1,0,0,0,6
2583,2583,85.0,Dangerous,dang2,330,5,1,0,0,0,6
2646,2646,86.0,Dangerous,dang2,330,5,1,0,0,0,6
2710,2710,87.0,Dangerous,dang2,330,5,1,0,0,0,6
2774,2774,88.0,Dangerous,dang2,330,5,1,0,0,0,6
2839,2839,89.0,Dangerous,dang2,330,5,1,0,0,0,6
2905,2905,90.0,Dangerous,dang2,330,5,1,0,0,0,6
2972,2972,91.0,Dangerous,dang2,330,5,1,0,0,0,6
3039,3039,92.0,Dangerous,dang2,330,5,1,0,0,0,6
3107,3107,93.0,Dangerous,dang2,330,5,1,0,0,0,6
3176,3176,94.0,Dangerous,dang2,330,5,1,0,0,0,6
3246,3246,95.0,Dangerous,dang2,330,5,1,0,0,0,6
3316,3316,96.0,Dangerous,dang2,330,5,1,0,0,0,6
3387,3387,97.0,Dangerous,dang2,330,5,1,0,0,0,6
3458,3458,98.0,Dangerous,dang2,330,5,1,0,0,0,6
3530,3530,99.0,Dangerous,dang2,330,5,1,0,0,0,6
3602,3602,100.0,Dangerous,dang2,330,5,1,0,0,0,6
3674,3674,101.0,Dangerous,dang2,330,5,1,0,0,0,6
3747,3747,102.0,Dangerous,dang2,330,5,1,0,0,0,6
3820,3820,103.0,Dangerous,dang2,330,5,1,0,0,0,6
3893,3893,104.0,Dangerous,dang2,330,5,1,0,0,0,6
3967,3967,105.0,Dangerous,dang2,330,5,1,0,0,0,6
4042,4042,106.0,Dangerous,dang2,330,5,1,0,0,0,6
4117,4117,107.0,Dangerous,dang2,330,5,1,0,0,0,6
4193,4193,108.0,Dangerous,dang2,330,5,1,0,0,0,6
4270,4270,109.0,Dangerous,dang2,334,5,1,0,0,0,6
4348,4348,110.0,Dangerous,dang2,341,5,1,0,0,0,6
4427,4427,111.0,Dangerous,dang2,351,5,1,0,0,0,6
4506,4506,112.0,Dangerous,dang2,362,5,1,0,0,0,6
4586,4586,113.0,Dangerous,dang2,376,5,1,0,0,0,6
4667,4667,114.0,Dangerous,dang2,393,5,1,0,0,0,6
4749,4749,115.0,Dangerous,dang2,412,5,1,0,0,0,6
4831,4831,116.0,Dangerous,dang2,432,5,1,0,0,0,6
4914,4914,117.0,Dangerous,dang2,451,5,1,0,0,0,6
4998,4998,118.0,Dangerous,dang2,471,5,1,0,0,0,6
5083,5083,119.0,Dangerous,dang2,491,5,1,0,0,0,6
5168,5168,120.0,Dangerous,dang2,511,5,1,0,0,0,6
5177,5177,120.0,Dangerous,dang29,0,0,0,0,0,0,0
5254,5254,121.0,Dangerous,dang2,531,5,1,0,0,0,6
5263,5263,121.0,Dangerous,dang29,3,0,0,0,0,0,0
5341,5341,122.0,Dangerous,dang2,551,5,1,0,0,0,6
5350,5350,122.0,Dangerous,dang29,11,0,0,0,0,0,0
5429,5429,123.0,Dangerous,dang2,571,5,1,0,0,0,6
5438,5438,123.0,Dangerous,dang29,22,0,1,0,0,0,1
5517,5517,124.0,Dangerous,dang2,591,5,1,0,0,0,6
5526,5526,124.0,Dangerous,dang29,33,0,1,0,0,0,1
5606,5606,125.0,Dangerous,dang2,611,5,1,0,0,0,6
5615,5615,125.0,Dangerous,dang29,46,0,1,0,0,0,1
5696,5696,126.0,Dangerous,dang2,631,5,1,0,0,0,6
5705,5705,126.0,Dangerous,dang29,59,0,2,0,0,0,2
