,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
230,230,26.0,Slow,slow5,0,0,0,0,0,0,0
248,248,27.0,Slow,slow5,0,0,0,0,0,0,0
267,267,28.0,Slow,slow5,2,0,0,0,0,0,0
287,287,29.0,Slow,slow5,5,0,0,0,0,0,0
307,307,30.0,Slow,slow5,8,0,0,0,0,0,0
327,327,31.0,Slow,slow5,11,0,0,0,0,0,0
349,349,32.0,Slow,slow5,15,0,0,0,0,0,0
372,372,33.0,Slow,slow5,19,0,0,0,0,0,0
395,395,34.0,Slow,slow5,23,0,0,0,0,0,0
419,419,35.0,Slow,slow5,26,0,0,0,0,0,0
444,444,36.0,Slow,slow5,29,0,0,0,0,0,0
470,470,37.0,Slow,slow5,32,0,0,0,0,0,0
496,496,38.0,Slow,slow5,35,0,0,0,0,0,0
523,523,39.0,Slow,slow5,37,0,0,0,0,0,0
551,551,40.0,Slow,slow5,38,0,0,0,0,0,0
580,580,41.0,Slow,slow5,40,0,0,0,0,0,0
609,609,42.0,Slow,slow5,44,0,0,0,0,0,0
640,640,43.0,Slow,slow5,48,0,0,0,0,0,0
672,672,44.0,Slow,slow5,53,0,0,0,0,0,0
705,705,45.0,Slow,slow5,59,0,0,0,0,0,0
738,738,46.0,Slow,slow5,65,0,0,0,0,0,0
771,771,47.0,Slow,slow5,72,0,0,0,0,0,0
805,805,48.0,Slow,slow5,79,0,0,0,0,0,0
840,840,49.0,Slow,slow5,87,0,0,0,0,0,0
876,876,50.0,Slow,slow5,94,0,0,0,0,0,0
912,912,51.0,Slow,slow5,102,0,0,0,0,0,0
950,950,52.0,Slow,slow5,108,0,0,0,0,0,0
989,989,53.0,Slow,slow5,113,0,0,0,0,0,0
1028,1028,54.0,Slow,slow5,118,0,0,0,0,0,0
1069,1069,55.0,Slow,slow5,121,0,0,0,0,0,0
1111,1111,56.0,Slow,slow5,124,0,0,0,0,0,0
1154,1154,57.0,Slow,slow5,126,0,0,0,0,0,0
1197,1197,58.0,Slow,slow5,127,0,0,0,0,0,0
1240,1240,59.0,Slow,slow5,129,0,0,0,0,0,0
1284,1284,60.0,Slow,slow5,133,0,0,0,0,0,0
1329,1329,61.0,Slow,slow5,137,0,0,0,0,0,0
1375,1375,62.0,Slow,slow5,143,0,0,0,0,0,0
1421,1421,63.0,Slow,slow5,149,0,0,0,0,0,0
1468,1468,64.0,Slow,slow5,156,0,0,0,0,0,0
1516,1516,65.0,Slow,slow5,163,0,0,0,0,0,0
1565,1565,66.0,Slow,slow5,171,0,0,0,0,0,0
1614,1614,67.0,Slow,slow5,179,0,0,0,0,0,0
1664,1664,68.0,Slow,slow5,187,0,0,0,0,0,0
1715,1715,69.0,Slow,slow5,194,0,0,0,0,0,0
1767,1767,70.0,Slow,slow5,201,0,0,0,0,0,0
1819,1819,71.0,Slow,slow5,207,0,0,0,0,0,0
1872,1872,72.0,Slow,slow5,212,0,0,0,0,0,0
1926,1926,73.0,Slow,slow5,216,0,0,0,0,0,0
1981,1981,74.0,Slow,slow5,219,0,0,0,0,0,0
2036,2036,75.0,Slow,slow5,221,0,0,0,0,0,0
2092,2092,76.0,Slow,slow5,222,0,0,0,0,0,0
2149,2149,77.0,Slow,slow5,225,0,0,0,0,0,0
2206,2206,78.0,Slow,slow5,228,0,0,0,0,0,0
2263,2263,79.0,Slow,slow5,233,0,0,0,0,0,0
2322,2322,80.0,Slow,slow5,238,0,0,0,0,0,0
2382,2382,81.0,Slow,slow5,244,0,0,0,0,0,0
2443,2443,82.0,Slow,slow5,250,0,0,0,0,0,0
2504,2504,83.0,Slow,slow5,257,0,0,0,0,0,0
2566,2566,84.0,Slow,slow5,263,0,0,0,0,0,0
2629,2629,85.0,Slow,slow5,269,0,0,0,0,0,0
2693,2693,86.0,Slow,slow5,274,0,0,0,0,0,0
2757,2757,87.0,Slow,slow5,280,0,0,0,0,0,0
2822,2822,88.0,Slow,slow5,285,0,0,0,0,0,0
2888,2888,89.0,Slow,slow5,291,0,0,0,0,0,0
2955,2955,90.0,Slow,slow5,296,0,0,0,0,0,0
3022,3022,91.0,Slow,slow5,302,0,0,0,0,0,0
3090,3090,92.0,Slow,slow5,308,0,0,0,0,0,0
3159,3159,93.0,Slow,slow5,314,0,0,0,0,0,0
3229,3229,94.0,Slow,slow5,321,0,0,0,0,0,0
3299,3299,95.0,Slow,slow5,328,0,0,0,0,0,0
3370,3370,96.0,Slow,slow5,334,0,0,0,0,0,0
3441,3441,97.0,Slow,slow5,339,0,0,0,0,0,0
3513,3513,98.0,Slow,slow5,344,0,0,0,0,0,0
3585,3585,99.0,Slow,slow5,347,0,0,0,0,0,0
3657,3657,100.0,Slow,slow5,350,0,0,0,0,0,0
3730,3730,101.0,Slow,slow5,352,0,0,0,0,0,0
3803,3803,102.0,Slow,slow5,353,0,0,0,0,0,0
3876,3876,103.0,Slow,slow5,355,0,0,0,0,0,0
3950,3950,104.0,Slow,slow5,359,0,0,0,0,0,0
4025,4025,105.0,Slow,slow5,363,0,0,0,0,0,0
4100,4100,106.0,Slow,slow5,368,0,0,0,0,0,0
4176,4176,107.0,Slow,slow5,374,0,0,0,0,0,0
4253,4253,108.0,Slow,slow5,380,0,0,0,0,0,0
4331,4331,109.0,Slow,slow5,388,0,0,0,0,0,0
4410,4410,110.0,Slow,slow5,396,0,0,0,0,0,0
4489,4489,111.0,Slow,slow5,405,0,0,0,0,0,0
4569,4569,112.0,Slow,slow5,414,0,0,0,0,0,0
4650,4650,113.0,Slow,slow5,424,0,0,0,0,0,0
4732,4732,114.0,Slow,slow5,434,0,0,0,0,0,0
4814,4814,115.0,Slow,slow5,444,0,0,0,0,0,0
4897,4897,116.0,Slow,slow5,455,0,0,0,0,0,0
