,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
4839,4839,116.0,Dangerous,dang28,0,0,0,0,0,0,0
4922,4922,117.0,Dangerous,dang28,3,0,0,0,0,0,0
5006,5006,118.0,Dangerous,dang28,11,0,0,0,0,0,0
5091,5091,119.0,Dangerous,dang28,21,0,1,0,0,0,1
5176,5176,120.0,Dangerous,dang28,33,0,2,0,0,0,2
5262,5262,121.0,Dangerous,dang28,44,0,3,0,0,0,3
5349,5349,122.0,Dangerous,dang28,56,0,4,0,0,0,4
5437,5437,123.0,Dangerous,dang28,67,0,5,0,0,0,5
5525,5525,124.0,Dangerous,dang28,77,0,6,0,0,0,6
5614,5614,125.0,Dangerous,dang28,86,0,7,0,0,0,7
5704,5704,126.0,Dangerous,dang28,93,0,8,0,0,0,8
5795,5795,127.0,Dangerous,dang28,98,0,9,0,0,0,9
5886,5886,128.0,Dangerous,dang28,102,0,10,0,0,0,10
5978,5978,129.0,Dangerous,dang28,105,0,11,0,0,0,11
6071,6071,130.0,Dangerous,dang28,107,0,11,0,0,0,11
6165,6165,131.0,Dangerous,dang28,112,0,12,0,0,0,12
6259,6259,132.0,Dangerous,dang28,113,0,12,0,0,0,12
6354,6354,133.0,Dangerous,dang28,118,1,12,0,0,0,13
6450,6450,134.0,Dangerous,dang28,122,1,12,0,0,0,13
6547,6547,135.0,Dangerous,dang28,130,1,12,0,0,0,13
6644,6644,136.0,Dangerous,dang28,142,1,12,0,0,0,13
6742,6742,137.0,Dangerous,dang28,156,1,12,0,0,0,13
6841,6841,138.0,Dangerous,dang28,170,2,13,0,0,0,15
6941,6941,139.0,Dangerous,dang28,185,3,14,0,0,0,17
7041,7041,140.0,Dangerous,dang28,199,4,15,0,0,0,19
7141,7141,141.0,Dangerous,dang28,214,5,16,0,0,0,21
7241,7241,142.0,Dangerous,dang28,228,6,16,0,0,0,22
7342,7342,143.0,Dangerous,dang28,241,6,17,0,0,0,23
7443,7443,144.0,Dangerous,dang28,253,6,17,0,0,0,23
7545,7545,145.0,Dangerous,dang28,264,6,18,0,0,0,24
7648,7648,146.0,Dangerous,dang28,273,6,19,0,0,0,25
7752,7752,147.0,Dangerous,dang28,279,6,20,0,0,0,26
7856,7856,148.0,Dangerous,dang28,284,6,21,0,0,0,27
7961,7961,149.0,Dangerous,dang28,287,6,22,0,1,0,29
8067,8067,150.0,Dangerous,dang28,289,6,23,0,2,0,31
8174,8174,151.0,Dangerous,dang28,291,6,24,0,3,0,33
8281,8281,152.0,Dangerous,dang28,292,6,25,1,4,0,36
8389,8389,153.0,Dangerous,dang28,292,6,25,1,5,0,37
8498,8498,154.0,Dangerous,dang28,293,6,25,1,6,0,38
8608,8608,155.0,Dangerous,dang28,293,6,25,1,6,0,38
8718,8718,156.0,Dangerous,dang28,296,6,25,1,6,0,38
8829,8829,157.0,Dangerous,dang28,301,6,25,1,6,0,38
8941,8941,158.0,Dangerous,dang28,306,6,25,1,6,0,38
9054,9054,159.0,Dangerous,dang28,313,6,25,1,6,0,38
9167,9167,160.0,Dangerous,dang28,324,6,25,1,6,0,38
9281,9281,161.0,Dangerous,dang28,339,6,25,1,6,0,38
9395,9395,162.0,Dangerous,dang28,355,7,25,1,6,0,39
9510,9510,163.0,Dangerous,dang28,373,8,25,1,6,0,40
9625,9625,164.0,Dangerous,dang28,392,9,25,1,6,0,41
9740,9740,165.0,Dangerous,dang28,410,10,25,1,6,0,42
9856,9856,166.0,Dangerous,dang28,429,11,25,1,6,0,43
9972,9972,167.0,Dangerous,dang28,448,12,25,1,6,0,44
10088,10088,168.0,Dangerous,dang28,466,13,25,1,6,0,45
10205,10205,169.0,Dangerous,dang28,485,14,25,1,6,0,46
10324,10324,170.0,Dangerous,dang28,504,15,25,1,6,0,47
10338,10338,170.0,Dangerous,dang40,0,0,0,0,0,0,0
10445,10445,171.0,Dangerous,dang28,523,16,25,1,6,0,48
10459,10459,171.0,Dangerous,dang40,3,0,0,0,0,0,0
10567,10567,172.0,Dangerous,dang28,539,17,25,1,6,0,49
10581,10581,172.0,Dangerous,dang40,11,0,0,0,0,0,0
10690,10690,173.0,Dangerous,dang28,555,17,25,1,6,0,49
10704,10704,173.0,Dangerous,dang40,19,0,0,0,0,0,0
10814,10814,174.0,Dangerous,dang28,569,17,25,1,6,0,49
10828,10828,174.0,Dangerous,dang40,25,0,0,0,0,0,0
10939,10939,175.0,Dangerous,dang28,580,17,25,1,6,0,49
10953,10953,175.0,Dangerous,dang40,30,0,0,0,0,0,0
11064,11064,176.0,Dangerous,dang28,592,17,25,1,6,0,49
11078,11078,176.0,Dangerous,dang40,33,0,0,0,0,0,0
11190,11190,177.0,Dangerous,dang28,601,17,25,1,6,0,49
11204,11204,177.0,Dangerous,dang40,35,0,0,0,0,0,0
11317,11317,178.0,Dangerous,dang28,607,17,25,1,6,0,49
11331,11331,178.0,Dangerous,dang40,40,0,0,0,0,0,0
11444,11444,179.0,Dangerous,dang28,611,17,25,1,6,0,49
11458,11458,179.0,Dangerous,dang40,46,0,0,0,0,0,0
11571,11571,180.0,Dangerous,dang28,612,17,25,1,6,0,49
11585,11585,180.0,Dangerous,dang40,55,0,0,0,0,0,0
11699,11699,181.0,Dangerous,dang28,618,17,25,1,6,0,49
11713,11713,181.0,Dangerous,dang40,68,0,0,0,0,0,0
11828,11828,182.0,Dangerous,dang28,627,17,25,1,6,0,49
11842,11842,182.0,Dangerous,dang40,83,0,0,0,0,0,0
11958,11958,183.0,Dangerous,dang28,638,17,25,1,6,0,49
11972,11972,183.0,Dangerous,dang40,100,1,0,0,0,0,1
12088,12088,184.0,Dangerous,dang28,653,17,25,1,6,0,49
12102,12102,184.0,Dangerous,dang40,117,2,0,0,0,0,2
12219,12219,185.0,Dangerous,dang28,671,17,25,1,6,0,49
12233,12233,185.0,Dangerous,dang40,135,3,0,0,0,0,3
12351,12351,186.0,Dangerous,dang28,690,17,25,1,6,0,49
12365,12365,186.0,Dangerous,dang40,152,4,0,0,0,0,4
12484,12484,187.0,Dangerous,dang28,709,17,25,1,6,0,49
12498,12498,187.0,Dangerous,dang40,170,5,0,0,0,0,5
12617,12617,188.0,Dangerous,dang28,729,17,25,1,6,0,49
12631,12631,188.0,Dangerous,dang40,187,6,0,0,0,0,6
12751,12751,189.0,Dangerous,dang28,749,17,25,1,6,0,49
12765,12765,189.0,Dangerous,dang40,205,7,0,0,0,0,7
12885,12885,190.0,Dangerous,dang28,769,17,25,1,6,0,49
12899,12899,190.0,Dangerous,dang40,221,8,0,0,0,0,8
13020,13020,191.0,Dangerous,dang28,789,17,25,1,6,0,49
13034,13034,191.0,Dangerous,dang40,236,8,0,0,0,0,8
13155,13155,192.0,Dangerous,dang28,809,17,25,1,6,0,49
13169,13169,192.0,Dangerous,dang40,253,9,0,0,0,0,9
13290,13290,193.0,Dangerous,dang28,829,17,25,1,6,0,49
13304,13304,193.0,Dangerous,dang40,267,9,0,0,0,0,9
13427,13427,194.0,Dangerous,dang28,849,17,25,1,6,0,49
13441,13441,194.0,Dangerous,dang40,282,9,0,0,0,0,9
13564,13564,195.0,Dangerous,dang28,869,17,25,1,6,0,49
13578,13578,195.0,Dangerous,dang40,298,9,0,0,0,0,9
13701,13701,196.0,Dangerous,dang28,889,17,25,1,6,0,49
13715,13715,196.0,Dangerous,dang40,314,10,0,0,0,0,10
13840,13840,197.0,Dangerous,dang28,909,17,25,1,6,0,49
13854,13854,197.0,Dangerous,dang40,332,11,0,0,0,0,11
13980,13980,198.0,Dangerous,dang28,929,17,25,1,6,0,49
13994,13994,198.0,Dangerous,dang40,349,12,0,0,0,0,12
14122,14122,199.0,Dangerous,dang28,949,17,25,1,6,0,49
14136,14136,199.0,Dangerous,dang40,367,13,0,0,0,0,13
14264,14264,200.0,Dangerous,dang28,969,17,25,1,6,0,49
14278,14278,200.0,Dangerous,dang40,383,14,0,0,0,0,14
14407,14407,201.0,Dangerous,dang28,989,17,25,1,6,0,49
14421,14421,201.0,Dangerous,dang40,399,15,0,0,0,0,15
14551,14551,202.0,Dangerous,dang28,1009,17,25,1,6,0,49
14565,14565,202.0,Dangerous,dang40,415,15,0,0,0,0,15
14696,14696,203.0,Dangerous,dang28,1029,17,25,1,6,0,49
14710,14710,203.0,Dangerous,dang40,430,15,0,0,0,0,15
14841,14841,204.0,Dangerous,dang28,1049,17,25,1,6,0,49
14855,14855,204.0,Dangerous,dang40,443,15,0,0,0,0,15
14987,14987,205.0,Dangerous,dang28,1069,17,25,1,6,0,49
15001,15001,205.0,Dangerous,dang40,454,15,0,0,0,0,15
15134,15134,206.0,Dangerous,dang28,1089,17,25,1,6,0,49
15148,15148,206.0,Dangerous,dang40,463,15,0,0,0,0,15
15282,15282,207.0,Dangerous,dang28,1109,17,25,1,6,0,49
15296,15296,207.0,Dangerous,dang40,468,15,0,0,0,0,15
15430,15430,208.0,Dangerous,dang28,1129,17,25,1,6,0,49
15444,15444,208.0,Dangerous,dang40,471,15,0,0,0,0,15
15579,15579,209.0,Dangerous,dang28,1149,17,25,1,6,0,49
15593,15593,209.0,Dangerous,dang40,472,15,0,0,0,0,15
15729,15729,210.0,Dangerous,dang28,1169,17,25,1,6,0,49
15743,15743,210.0,Dangerous,dang40,474,15,0,0,0,0,15
