,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
73644,73644,485.0,Normal,normal121,0,0,0,0,0,0,0
73900,73900,486.0,Normal,normal121,1,0,0,0,0,0,0
74157,74157,487.0,Normal,normal121,5,0,0,0,0,0,0
74415,74415,488.0,Normal,normal121,11,0,0,0,0,0,0
74673,74673,489.0,Normal,normal121,19,0,0,0,0,0,0
74932,74932,490.0,Normal,normal121,29,0,0,0,0,0,0
75192,75192,491.0,Normal,normal121,40,0,0,0,0,0,0
75453,75453,492.0,Normal,normal121,52,0,0,0,0,0,0
75714,75714,493.0,Normal,normal121,65,0,0,0,0,0,0
75976,75976,494.0,Normal,normal121,78,0,0,0,0,0,0
76239,76239,495.0,Normal,normal121,92,0,0,0,0,0,0
76503,76503,496.0,Normal,normal121,106,0,0,0,0,0,0
76767,76767,497.0,Normal,normal121,120,0,0,0,0,0,0
77032,77032,498.0,Normal,normal121,134,0,0,0,0,0,0
77298,77298,499.0,Normal,normal121,148,0,0,0,0,0,0
77565,77565,500.0,Normal,normal121,161,0,0,0,0,0,0
77832,77832,501.0,Normal,normal121,175,0,0,0,0,0,0
78098,78098,502.0,Normal,normal121,189,0,0,0,0,0,0
78363,78363,503.0,Normal,normal121,203,0,0,0,0,0,0
78627,78627,504.0,Normal,normal121,217,0,0,0,0,0,0
78888,78888,505.0,Normal,normal121,231,0,0,0,0,0,0
79150,79150,506.0,Normal,normal121,245,0,0,0,0,0,0
79410,79410,507.0,Normal,normal121,259,0,0,0,0,0,0
79669,79669,508.0,Normal,normal121,273,0,0,0,0,0,0
79928,79928,509.0,Normal,normal121,287,0,0,0,0,0,0
80187,80187,510.0,Normal,normal121,301,0,0,0,0,0,0
80445,80445,511.0,Normal,normal121,315,0,0,0,0,0,0
80704,80704,512.0,Normal,normal121,329,0,0,0,0,0,0
80962,80962,513.0,Normal,normal121,343,0,0,0,0,0,0
81221,81221,514.0,Normal,normal121,357,0,0,0,0,0,0
81481,81481,515.0,Normal,normal121,371,0,0,0,0,0,0
81742,81742,516.0,Normal,normal121,385,0,0,0,0,0,0
82003,82003,517.0,Normal,normal121,399,0,0,0,0,0,0
82266,82266,518.0,Normal,normal121,413,0,0,0,0,0,0
82530,82530,519.0,Normal,normal121,427,0,0,0,0,0,0
82795,82795,520.0,Normal,normal121,441,0,0,0,0,0,0
83059,83059,521.0,Normal,normal121,455,0,0,0,0,0,0
83322,83322,522.0,Normal,normal121,469,0,0,0,0,0,0
83586,83586,523.0,Normal,normal121,483,0,0,0,0,0,0
83850,83850,524.0,Normal,normal121,497,0,0,0,0,0,0
84114,84114,525.0,Normal,normal121,511,0,0,0,0,0,0
84379,84379,526.0,Normal,normal121,525,0,0,0,0,0,0
84644,84644,527.0,Normal,normal121,539,0,0,0,0,0,0
84910,84910,528.0,Normal,normal121,553,0,0,0,0,0,0
85175,85175,529.0,Normal,normal121,567,0,0,0,0,0,0
85440,85440,530.0,Normal,normal121,581,0,0,0,0,0,0
85705,85705,531.0,Normal,normal121,595,0,0,0,0,0,0
85971,85971,532.0,Normal,normal121,609,0,0,0,0,0,0
86236,86236,533.0,Normal,normal121,623,0,0,0,0,0,0
86502,86502,534.0,Normal,normal121,637,0,0,0,0,0,0
86768,86768,535.0,Normal,normal121,650,0,0,0,0,0,0
87034,87034,536.0,Normal,normal121,663,0,0,0,0,0,0
87300,87300,537.0,Normal,normal121,675,0,0,0,0,0,0
87567,87567,538.0,Normal,normal121,687,0,0,0,0,0,0
87834,87834,539.0,Normal,normal121,698,0,0,0,0,0,0
88102,88102,540.0,Normal,normal121,709,0,0,0,0,0,0
88370,88370,541.0,Normal,normal121,720,0,0,0,0,0,0
88639,88639,542.0,Normal,normal121,732,0,0,0,0,0,0
88908,88908,543.0,Normal,normal121,745,0,0,0,0,0,0
89178,89178,544.0,Normal,normal121,758,0,0,0,0,0,0
89448,89448,545.0,Normal,normal121,771,0,0,0,0,0,0
89718,89718,546.0,Normal,normal121,785,0,0,0,0,0,0
89989,89989,547.0,Normal,normal121,798,0,0,0,0,0,0
90261,90261,548.0,Normal,normal121,811,0,0,0,0,0,0
90533,90533,549.0,Normal,normal121,824,0,0,0,0,0,0
90806,90806,550.0,Normal,normal121,836,0,0,0,0,0,0
91079,91079,551.0,Normal,normal121,847,0,0,0,0,0,0
91352,91352,552.0,Normal,normal121,858,0,0,0,0,0,0
91625,91625,553.0,Normal,normal121,866,0,0,0,0,0,0
91897,91897,554.0,Normal,normal121,874,0,0,0,0,0,0
92169,92169,555.0,Normal,normal121,880,0,0,0,0,0,0
92442,92442,556.0,Normal,normal121,884,0,0,0,0,0,0
92715,92715,557.0,Normal,normal121,887,0,0,0,0,0,0
92989,92989,558.0,Normal,normal121,889,0,0,0,0,0,0
93263,93263,559.0,Normal,normal121,890,0,0,0,0,0,0
93538,93538,560.0,Normal,normal121,891,0,0,0,0,0,0
93813,93813,561.0,Normal,normal121,892,0,0,0,0,0,0
94089,94089,562.0,Normal,normal121,892,0,0,0,0,0,0
94366,94366,563.0,Normal,normal121,892,0,0,0,0,0,0
94644,94644,564.0,Normal,normal121,893,0,0,0,0,0,0
94921,94921,565.0,Normal,normal121,893,0,0,0,0,0,0
95198,95198,566.0,Normal,normal121,893,0,0,0,0,0,0
95475,95475,567.0,Normal,normal121,893,0,0,0,0,0,0
95752,95752,568.0,Normal,normal121,893,0,0,0,0,0,0
96029,96029,569.0,Normal,normal121,893,0,0,0,0,0,0
96307,96307,570.0,Normal,normal121,893,0,0,0,0,0,0
96585,96585,571.0,Normal,normal121,893,0,0,0,0,0,0
96864,96864,572.0,Normal,normal121,893,0,0,0,0,0,0
97143,97143,573.0,Normal,normal121,893,0,0,0,0,0,0
97423,97423,574.0,Normal,normal121,893,0,0,0,0,0,0
97704,97704,575.0,Normal,normal121,893,0,0,0,0,0,0
97986,97986,576.0,Normal,normal121,893,0,0,0,0,0,0
98267,98267,577.0,Normal,normal121,893,0,0,0,0,0,0
98548,98548,578.0,Normal,normal121,893,0,0,0,0,0,0
98829,98829,579.0,Normal,normal121,893,0,0,0,0,0,0
99111,99111,580.0,Normal,normal121,893,0,0,0,0,0,0
99393,99393,581.0,Normal,normal121,893,0,0,0,0,0,0
99675,99675,582.0,Normal,normal121,893,0,0,0,0,0,0
99958,99958,583.0,Normal,normal121,893,0,0,0,0,0,0
100241,100241,584.0,Normal,normal121,893,0,0,0,0,0,0
100523,100523,585.0,Normal,normal121,893,0,0,0,0,0,0
100805,100805,586.0,Normal,normal121,894,0,0,0,0,0,0
101089,101089,587.0,Normal,normal121,896,0,0,0,0,0,0
101373,101373,588.0,Normal,normal121,898,0,0,0,0,0,0
101655,101655,589.0,Normal,normal121,899,0,0,0,0,0,0
101938,101938,590.0,Normal,normal121,899,0,0,0,0,0,0
102221,102221,591.0,Normal,normal121,900,0,0,0,0,0,0
102505,102505,592.0,Normal,normal121,900,0,0,0,0,0,0
102789,102789,593.0,Normal,normal121,900,0,0,0,0,0,0
103074,103074,594.0,Normal,normal121,900,0,0,0,0,0,0
103360,103360,595.0,Normal,normal121,900,0,0,0,0,0,0
103647,103647,596.0,Normal,normal121,902,0,0,0,0,0,0
103932,103932,597.0,Normal,normal121,906,0,0,0,0,0,0
104218,104218,598.0,Normal,normal121,912,0,0,0,0,0,0
104504,104504,599.0,Normal,normal121,920,0,0,0,0,0,0
104790,104790,600.0,Normal,normal121,929,0,0,0,0,0,0
