,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
25,25,9.0,Normal,normal2,0,0,0,0,0,0,0
32,32,10.0,Normal,normal2,1,0,0,0,0,0,0
40,40,11.0,Normal,normal2,4,0,0,0,0,0,0
48,48,12.0,Normal,normal2,6,0,0,0,0,0,0
56,56,13.0,Normal,normal2,7,0,0,0,0,0,0
65,65,14.0,Normal,normal2,8,0,0,0,0,0,0
74,74,15.0,Normal,normal2,9,0,0,0,0,0,0
84,84,16.0,Normal,normal2,9,0,0,0,0,0,0
94,94,17.0,Normal,normal2,10,0,0,0,0,0,0
105,105,18.0,Normal,normal2,10,0,0,0,0,0,0
117,117,19.0,Normal,normal2,10,0,0,0,0,0,0
130,130,20.0,Normal,normal2,10,0,0,0,0,0,0
143,143,21.0,Normal,normal2,10,0,0,0,0,0,0
157,157,22.0,Normal,normal2,10,0,0,0,0,0,0
172,172,23.0,Normal,normal2,10,0,0,0,0,0,0
188,188,24.0,Normal,normal2,10,0,0,0,0,0,0
204,204,25.0,Normal,normal2,10,0,0,0,0,0,0
221,221,26.0,Normal,normal2,10,0,0,0,0,0,0
239,239,27.0,Normal,normal2,10,0,0,0,0,0,0
258,258,28.0,Normal,normal2,10,0,0,0,0,0,0
277,277,29.0,Normal,normal2,10,0,0,0,0,0,0
297,297,30.0,Normal,normal2,10,0,0,0,0,0,0
317,317,31.0,Normal,normal2,10,0,0,0,0,0,0
339,339,32.0,Normal,normal2,10,0,0,0,0,0,0
361,361,33.0,Normal,normal2,10,0,0,0,0,0,0
384,384,34.0,Normal,normal2,10,0,0,0,0,0,0
408,408,35.0,Normal,normal2,10,0,0,0,0,0,0
433,433,36.0,Normal,normal2,10,0,0,0,0,0,0
458,458,37.0,Normal,normal2,10,0,0,0,0,0,0
484,484,38.0,Normal,normal2,10,0,0,0,0,0,0
511,511,39.0,Normal,normal2,10,0,0,0,0,0,0
539,539,40.0,Normal,normal2,10,0,0,0,0,0,0
568,568,41.0,Normal,normal2,10,0,0,0,0,0,0
597,597,42.0,Normal,normal2,10,0,0,0,0,0,0
628,628,43.0,Normal,normal2,10,0,0,0,0,0,0
659,659,44.0,Normal,normal2,10,0,0,0,0,0,0
692,692,45.0,Normal,normal2,10,0,0,0,0,0,0
725,725,46.0,Normal,normal2,10,0,0,0,0,0,0
758,758,47.0,Normal,normal2,10,0,0,0,0,0,0
792,792,48.0,Normal,normal2,10,0,0,0,0,0,0
827,827,49.0,Normal,normal2,10,0,0,0,0,0,0
