,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
3320,3320,96.0,Dangerous,dang23,0,0,0,0,0,0,0
3391,3391,97.0,Dangerous,dang23,3,0,0,0,0,0,0
3462,3462,98.0,Dangerous,dang23,11,0,0,0,0,0,0
3534,3534,99.0,Dangerous,dang23,21,0,1,0,0,0,1
3606,3606,100.0,Dangerous,dang23,32,0,2,0,0,0,2
3678,3678,101.0,Dangerous,dang23,42,0,3,0,0,0,3
3751,3751,102.0,Dangerous,dang23,52,0,4,0,0,0,4
3824,3824,103.0,Dangerous,dang23,60,0,5,0,0,0,5
3897,3897,104.0,Dangerous,dang23,67,0,6,0,0,0,6
3971,3971,105.0,Dangerous,dang23,72,0,7,0,0,0,7
4046,4046,106.0,Dangerous,dang23,75,0,8,0,0,0,8
4121,4121,107.0,Dangerous,dang23,77,0,9,0,1,0,10
4197,4197,108.0,Dangerous,dang23,79,0,9,0,1,0,10
4274,4274,109.0,Dangerous,dang23,83,0,10,0,1,0,11
4352,4352,110.0,Dangerous,dang23,85,0,10,0,1,0,11
4431,4431,111.0,Dangerous,dang23,90,0,10,0,1,0,11
4510,4510,112.0,Dangerous,dang23,99,1,10,0,1,0,12
4590,4590,113.0,Dangerous,dang23,109,1,10,0,1,0,12
4671,4671,114.0,Dangerous,dang23,121,1,10,0,1,0,12
4753,4753,115.0,Dangerous,dang23,135,1,10,0,1,0,12
4835,4835,116.0,Dangerous,dang23,149,1,10,0,1,0,12
4918,4918,117.0,Dangerous,dang23,163,1,11,0,1,0,13
5002,5002,118.0,Dangerous,dang23,176,1,12,0,1,0,14
5087,5087,119.0,Dangerous,dang23,188,1,13,0,1,0,15
5172,5172,120.0,Dangerous,dang23,198,1,14,0,1,0,16
5258,5258,121.0,Dangerous,dang23,207,1,15,0,1,0,17
5345,5345,122.0,Dangerous,dang23,215,1,16,0,1,0,18
5433,5433,123.0,Dangerous,dang23,220,1,17,0,1,0,19
5521,5521,124.0,Dangerous,dang23,224,1,18,0,1,0,20
5610,5610,125.0,Dangerous,dang23,227,1,19,0,2,0,22
5700,5700,126.0,Dangerous,dang23,229,1,20,0,3,0,24
5791,5791,127.0,Dangerous,dang23,231,1,20,0,3,0,24
5882,5882,128.0,Dangerous,dang23,234,1,20,0,3,0,24
5974,5974,129.0,Dangerous,dang23,236,1,20,0,3,0,24
6067,6067,130.0,Dangerous,dang23,241,1,20,0,3,0,24
6161,6161,131.0,Dangerous,dang23,250,1,20,0,3,0,24
6255,6255,132.0,Dangerous,dang23,259,1,20,0,3,0,24
6350,6350,133.0,Dangerous,dang23,271,1,20,0,3,0,24
6446,6446,134.0,Dangerous,dang23,286,1,20,0,3,0,24
6543,6543,135.0,Dangerous,dang23,300,1,21,0,3,0,25
6640,6640,136.0,Dangerous,dang23,315,1,22,0,3,0,26
6738,6738,137.0,Dangerous,dang23,330,1,23,0,3,0,27
6837,6837,138.0,Dangerous,dang23,344,1,24,0,3,0,28
6937,6937,139.0,Dangerous,dang23,359,1,25,0,3,0,29
7037,7037,140.0,Dangerous,dang23,373,1,25,0,3,0,29
7137,7137,141.0,Dangerous,dang23,387,1,25,0,3,0,29
7237,7237,142.0,Dangerous,dang23,401,1,26,0,3,0,30
7338,7338,143.0,Dangerous,dang23,415,1,27,0,3,0,31
7439,7439,144.0,Dangerous,dang23,429,1,28,0,3,0,32
7541,7541,145.0,Dangerous,dang23,442,1,29,0,3,0,33
7644,7644,146.0,Dangerous,dang23,455,1,30,0,3,0,34
7748,7748,147.0,Dangerous,dang23,468,1,31,0,3,0,35
7852,7852,148.0,Dangerous,dang23,481,1,32,0,3,0,36
7957,7957,149.0,Dangerous,dang23,494,1,33,0,3,0,37
8063,8063,150.0,Dangerous,dang23,506,1,34,0,3,0,38
8170,8170,151.0,Dangerous,dang23,517,1,35,0,3,0,39
8277,8277,152.0,Dangerous,dang23,528,1,36,0,3,0,40
8385,8385,153.0,Dangerous,dang23,538,1,37,0,3,0,41
8494,8494,154.0,Dangerous,dang23,546,1,37,0,3,0,41
8604,8604,155.0,Dangerous,dang23,552,1,37,0,3,0,41
8714,8714,156.0,Dangerous,dang23,560,1,37,0,3,0,41
8729,8729,156.0,Dangerous,dang38,0,0,0,0,0,0,0
8825,8825,157.0,Dangerous,dang23,571,1,37,0,3,0,41
8840,8840,157.0,Dangerous,dang38,3,0,0,0,0,0,0
8937,8937,158.0,Dangerous,dang23,583,1,38,0,3,0,42
8952,8952,158.0,Dangerous,dang38,11,0,0,0,0,0,0
9050,9050,159.0,Dangerous,dang23,595,1,39,0,3,0,43
9065,9065,159.0,Dangerous,dang38,21,0,1,0,0,0,1
9163,9163,160.0,Dangerous,dang23,608,1,40,0,3,0,44
9178,9178,160.0,Dangerous,dang38,33,0,2,0,0,0,2
9277,9277,161.0,Dangerous,dang23,622,1,41,0,3,0,45
9292,9292,161.0,Dangerous,dang38,44,0,3,0,0,0,3
9391,9391,162.0,Dangerous,dang23,636,1,42,0,3,0,46
9406,9406,162.0,Dangerous,dang38,56,0,4,0,0,0,4
9506,9506,163.0,Dangerous,dang23,649,1,43,0,3,0,47
9521,9521,163.0,Dangerous,dang38,68,0,4,0,0,0,4
9621,9621,164.0,Dangerous,dang23,663,1,44,0,3,0,48
9636,9636,164.0,Dangerous,dang38,80,0,5,0,0,0,5
9736,9736,165.0,Dangerous,dang23,677,1,44,0,3,0,48
9751,9751,165.0,Dangerous,dang38,91,0,6,0,0,0,6
9852,9852,166.0,Dangerous,dang23,691,1,44,0,3,0,48
9867,9867,166.0,Dangerous,dang38,102,0,7,0,0,0,7
9968,9968,167.0,Dangerous,dang23,705,1,45,0,3,0,49
9983,9983,167.0,Dangerous,dang38,111,0,8,0,0,0,8
10084,10084,168.0,Dangerous,dang23,719,1,46,0,3,0,50
10099,10099,168.0,Dangerous,dang38,119,0,9,0,0,0,9
10201,10201,169.0,Dangerous,dang23,733,1,47,0,3,0,51
10216,10216,169.0,Dangerous,dang38,124,0,10,0,0,0,10
10320,10320,170.0,Dangerous,dang23,747,1,48,0,3,0,52
10335,10335,170.0,Dangerous,dang38,129,0,11,0,0,0,11
10441,10441,171.0,Dangerous,dang23,761,1,49,0,3,0,53
10456,10456,171.0,Dangerous,dang38,131,0,12,0,1,0,13
10563,10563,172.0,Dangerous,dang23,775,1,49,0,3,0,53
10578,10578,172.0,Dangerous,dang38,134,0,12,0,1,0,13
