,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
3,3,4.0,Dangerous,dang0,0,0,0,0,0,0,0
5,5,5.0,Dangerous,dang0,3,0,0,0,0,0,0
8,8,6.0,Dangerous,dang0,11,0,0,0,0,0,0
12,12,7.0,Dangerous,dang0,21,0,1,0,0,0,1
16,16,8.0,Dangerous,dang0,33,0,2,0,0,0,2
21,21,9.0,Dangerous,dang0,45,0,3,0,0,0,3
27,27,10.0,Dangerous,dang0,56,0,4,0,0,0,4
35,35,11.0,Dangerous,dang0,68,0,5,0,0,0,5
43,43,12.0,Dangerous,dang0,79,0,6,0,0,0,6
51,51,13.0,Dangerous,dang0,89,0,7,0,0,0,7
60,60,14.0,Dangerous,dang0,97,0,8,0,0,0,8
69,69,15.0,Dangerous,dang0,104,0,9,0,0,0,9
78,78,16.0,Dangerous,dang0,109,0,10,0,0,0,10
88,88,17.0,Dangerous,dang0,113,0,11,0,0,0,11
99,99,18.0,Dangerous,dang0,115,0,12,0,1,0,13
111,111,19.0,Dangerous,dang0,117,0,12,0,1,0,13
123,123,20.0,Dangerous,dang0,121,0,13,0,1,0,14
136,136,21.0,Dangerous,dang0,123,0,13,0,1,0,14
150,150,22.0,Dangerous,dang0,129,0,13,0,1,0,14
165,165,23.0,Dangerous,dang0,137,1,13,0,1,0,15
180,180,24.0,Dangerous,dang0,147,1,13,0,1,0,15
196,196,25.0,Dangerous,dang0,159,1,14,0,1,0,16
213,213,26.0,Dangerous,dang0,172,1,15,0,1,0,17
231,231,27.0,Dangerous,dang0,185,1,16,0,1,0,18
249,249,28.0,Dangerous,dang0,199,1,17,0,1,0,19
268,268,29.0,Dangerous,dang0,211,1,17,0,1,0,19
288,288,30.0,Dangerous,dang0,224,1,17,0,1,0,19
308,308,31.0,Dangerous,dang0,236,1,17,0,1,0,19
329,329,32.0,Dangerous,dang0,247,1,18,0,1,0,20
351,351,33.0,Dangerous,dang0,256,1,19,0,1,0,21
374,374,34.0,Dangerous,dang0,264,1,20,0,1,0,22
398,398,35.0,Dangerous,dang0,270,1,21,0,1,0,23
422,422,36.0,Dangerous,dang0,275,1,22,0,1,0,24
447,447,37.0,Dangerous,dang0,278,1,23,0,1,0,25
473,473,38.0,Dangerous,dang0,280,1,24,0,2,0,27
500,500,39.0,Dangerous,dang0,282,1,24,0,2,0,27
527,527,40.0,Dangerous,dang0,286,1,24,0,2,0,27
555,555,41.0,Dangerous,dang0,287,1,24,0,2,0,27
584,584,42.0,Dangerous,dang0,293,1,24,0,2,0,27
614,614,43.0,Dangerous,dang0,302,1,24,0,2,0,27
645,645,44.0,Dangerous,dang0,314,1,24,0,2,0,27
677,677,45.0,Dangerous,dang0,328,1,24,0,2,0,27
710,710,46.0,Dangerous,dang0,342,1,24,0,2,0,27
743,743,47.0,Dangerous,dang0,356,1,24,0,2,0,27
776,776,48.0,Dangerous,dang0,370,1,24,0,2,0,27
810,810,49.0,Dangerous,dang0,384,1,25,0,2,0,28
845,845,50.0,Dangerous,dang0,399,1,26,0,2,0,29
881,881,51.0,Dangerous,dang0,413,1,27,0,2,0,30
917,917,52.0,Dangerous,dang0,427,1,28,0,2,0,31
955,955,53.0,Dangerous,dang0,441,1,28,0,2,0,31
994,994,54.0,Dangerous,dang0,455,1,28,0,2,0,31
1033,1033,55.0,Dangerous,dang0,469,1,28,0,2,0,31
1038,1038,55.0,Dangerous,dang13,0,0,0,0,0,0,0
1074,1074,56.0,Dangerous,dang0,483,1,28,0,2,0,31
1079,1079,56.0,Dangerous,dang13,3,0,1,0,0,0,1
