,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
17,17,8.0,Dangerous,dang1,0,0,0,0,0,0,0
22,22,9.0,Dangerous,dang1,3,0,0,0,0,0,0
28,28,10.0,Dangerous,dang1,11,0,0,0,0,0,0
36,36,11.0,Dangerous,dang1,22,0,1,0,0,0,1
44,44,12.0,Dangerous,dang1,34,0,2,0,0,0,2
52,52,13.0,Dangerous,dang1,47,0,3,0,0,0,3
61,61,14.0,Dangerous,dang1,60,0,4,0,0,0,4
70,70,15.0,Dangerous,dang1,74,0,4,0,0,0,4
79,79,16.0,Dangerous,dang1,86,0,5,0,0,0,5
89,89,17.0,Dangerous,dang1,97,0,6,0,0,0,6
100,100,18.0,Dangerous,dang1,107,0,7,0,0,0,7
112,112,19.0,Dangerous,dang1,116,0,8,0,0,0,8
124,124,20.0,Dangerous,dang1,123,0,9,0,0,0,9
137,137,21.0,Dangerous,dang1,128,0,10,0,0,0,10
151,151,22.0,Dangerous,dang1,132,0,10,0,0,0,10
166,166,23.0,Dangerous,dang1,135,0,10,0,0,0,10
181,181,24.0,Dangerous,dang1,137,0,10,0,0,0,10
197,197,25.0,Dangerous,dang1,142,0,10,0,0,0,10
214,214,26.0,Dangerous,dang1,144,0,10,0,0,0,10
232,232,27.0,Dangerous,dang1,150,0,10,0,0,0,10
250,250,28.0,Dangerous,dang1,159,0,10,0,0,0,10
269,269,29.0,Dangerous,dang1,170,0,10,0,0,0,10
289,289,30.0,Dangerous,dang1,183,0,11,0,0,0,11
309,309,31.0,Dangerous,dang1,197,0,12,0,0,0,12
330,330,32.0,Dangerous,dang1,211,0,13,0,0,0,13
352,352,33.0,Dangerous,dang1,226,0,14,0,0,0,14
375,375,34.0,Dangerous,dang1,240,0,14,0,0,0,14
399,399,35.0,Dangerous,dang1,254,0,14,0,0,0,14
423,423,36.0,Dangerous,dang1,269,0,15,0,0,0,15
448,448,37.0,Dangerous,dang1,283,0,16,0,0,0,16
474,474,38.0,Dangerous,dang1,297,0,17,0,0,0,17
501,501,39.0,Dangerous,dang1,311,0,18,0,0,0,18
528,528,40.0,Dangerous,dang1,325,0,18,0,0,0,18
556,556,41.0,Dangerous,dang1,339,0,18,0,0,0,18
585,585,42.0,Dangerous,dang1,353,0,18,0,0,0,18
615,615,43.0,Dangerous,dang1,367,0,18,0,0,0,18
646,646,44.0,Dangerous,dang1,381,0,19,0,0,0,19
678,678,45.0,Dangerous,dang1,395,0,20,0,0,0,20
711,711,46.0,Dangerous,dang1,409,0,21,0,0,0,21
744,744,47.0,Dangerous,dang1,423,0,22,0,0,0,22
777,777,48.0,Dangerous,dang1,437,0,23,0,0,0,23
811,811,49.0,Dangerous,dang1,451,0,23,0,0,0,23
846,846,50.0,Dangerous,dang1,465,0,23,0,0,0,23
