,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
5648,5648,125.0,Normal,normal31,0,0,0,0,0,0,0
5738,5738,126.0,Normal,normal31,1,0,0,0,0,0,0
5829,5829,127.0,Normal,normal31,5,0,0,0,0,0,0
5921,5921,128.0,Normal,normal31,11,0,0,0,0,0,0
6013,6013,129.0,Normal,normal31,17,0,0,0,0,0,0
6106,6106,130.0,Normal,normal31,24,0,0,0,0,0,0
6200,6200,131.0,Normal,normal31,29,0,0,0,0,0,0
6295,6295,132.0,Normal,normal31,33,0,0,0,0,0,0
6390,6390,133.0,Normal,normal31,36,0,0,0,0,0,0
6486,6486,134.0,Normal,normal31,39,0,0,0,0,0,0
6583,6583,135.0,Normal,normal31,43,0,0,0,0,0,0
6681,6681,136.0,Normal,normal31,47,1,0,0,0,0,1
6779,6779,137.0,Normal,normal31,51,1,0,0,0,0,1
6878,6878,138.0,Normal,normal31,58,1,0,0,0,0,1
6978,6978,139.0,Normal,normal31,65,1,0,0,0,0,1
7079,7079,140.0,Normal,normal31,74,1,0,0,0,0,1
7178,7178,141.0,Normal,normal31,83,1,0,0,0,0,1
7278,7278,142.0,Normal,normal31,91,1,0,0,0,0,1
7379,7379,143.0,Normal,normal31,98,1,0,0,0,0,1
7481,7481,144.0,Normal,normal31,104,1,0,0,0,0,1
7583,7583,145.0,Normal,normal31,109,1,0,0,0,0,1
7686,7686,146.0,Normal,normal31,112,1,0,0,0,0,1
7790,7790,147.0,Normal,normal31,114,1,0,0,0,0,1
7895,7895,148.0,Normal,normal31,118,1,0,0,0,0,1
8000,8000,149.0,Normal,normal31,124,1,0,0,0,0,1
8106,8106,150.0,Normal,normal31,131,1,0,0,0,0,1
8213,8213,151.0,Normal,normal31,140,1,0,0,0,0,1
8321,8321,152.0,Normal,normal31,150,1,0,0,0,0,1
8429,8429,153.0,Normal,normal31,162,1,0,0,0,0,1
8538,8538,154.0,Normal,normal31,175,1,0,0,0,0,1
8648,8648,155.0,Normal,normal31,188,1,0,0,0,0,1
8759,8759,156.0,Normal,normal31,201,1,0,0,0,0,1
8870,8870,157.0,Normal,normal31,215,1,0,0,0,0,1
8982,8982,158.0,Normal,normal31,228,1,0,0,0,0,1
9095,9095,159.0,Normal,normal31,241,1,0,0,0,0,1
9209,9209,160.0,Normal,normal31,253,1,0,0,0,0,1
9323,9323,161.0,Normal,normal31,264,1,0,0,0,0,1
9437,9437,162.0,Normal,normal31,275,1,0,0,0,0,1
9552,9552,163.0,Normal,normal31,285,1,0,0,0,0,1
9667,9667,164.0,Normal,normal31,293,1,0,0,0,0,1
9782,9782,165.0,Normal,normal31,300,1,0,0,0,0,1
9898,9898,166.0,Normal,normal31,305,1,0,0,0,0,1
10014,10014,167.0,Normal,normal31,309,1,0,0,0,0,1
10131,10131,168.0,Normal,normal31,312,1,0,0,0,0,1
10248,10248,169.0,Normal,normal31,314,1,0,0,0,0,1
10368,10368,170.0,Normal,normal31,315,1,0,0,0,0,1
10489,10489,171.0,Normal,normal31,316,1,0,0,0,0,1
10612,10612,172.0,Normal,normal31,316,1,0,0,0,0,1
10735,10735,173.0,Normal,normal31,317,1,0,0,0,0,1
10859,10859,174.0,Normal,normal31,317,1,0,0,0,0,1
10984,10984,175.0,Normal,normal31,317,1,0,0,0,0,1
11110,11110,176.0,Normal,normal31,317,1,0,0,0,0,1
11236,11236,177.0,Normal,normal31,317,1,0,0,0,0,1
11363,11363,178.0,Normal,normal31,317,1,0,0,0,0,1
11490,11490,179.0,Normal,normal31,317,1,0,0,0,0,1
11618,11618,180.0,Normal,normal31,317,1,0,0,0,0,1
11746,11746,181.0,Normal,normal31,317,1,0,0,0,0,1
11875,11875,182.0,Normal,normal31,317,1,0,0,0,0,1
12005,12005,183.0,Normal,normal31,317,1,0,0,0,0,1
12136,12136,184.0,Normal,normal31,317,1,0,0,0,0,1
12267,12267,185.0,Normal,normal31,317,1,0,0,0,0,1
12399,12399,186.0,Normal,normal31,317,1,0,0,0,0,1
12532,12532,187.0,Normal,normal31,317,1,0,0,0,0,1
12666,12666,188.0,Normal,normal31,317,1,0,0,0,0,1
12800,12800,189.0,Normal,normal31,317,1,0,0,0,0,1
12934,12934,190.0,Normal,normal31,317,1,0,0,0,0,1
13069,13069,191.0,Normal,normal31,317,1,0,0,0,0,1
13204,13204,192.0,Normal,normal31,317,1,0,0,0,0,1
13339,13339,193.0,Normal,normal31,317,1,0,0,0,0,1
13476,13476,194.0,Normal,normal31,319,1,0,0,0,0,1
13613,13613,195.0,Normal,normal31,323,1,0,0,0,0,1
13752,13752,196.0,Normal,normal31,329,1,0,0,0,0,1
13891,13891,197.0,Normal,normal31,337,1,0,0,0,0,1
13910,13910,197.0,Normal,normal49,0,0,0,0,0,0,0
14031,14031,198.0,Normal,normal31,346,1,0,0,0,0,1
14050,14050,198.0,Normal,normal49,1,0,0,0,0,0,0
14173,14173,199.0,Normal,normal31,357,1,0,0,0,0,1
14192,14192,199.0,Normal,normal49,5,0,0,0,0,0,0
14316,14316,200.0,Normal,normal31,368,1,0,0,0,0,1
14335,14335,200.0,Normal,normal49,11,0,0,0,0,0,0
14459,14459,201.0,Normal,normal31,379,1,0,0,0,0,1
14478,14478,201.0,Normal,normal49,19,0,0,0,0,0,0
14603,14603,202.0,Normal,normal31,390,1,0,0,0,0,1
14622,14622,202.0,Normal,normal49,28,0,0,0,0,0,0
14748,14748,203.0,Normal,normal31,400,1,0,0,0,0,1
14767,14767,203.0,Normal,normal49,39,0,0,0,0,0,0
14894,14894,204.0,Normal,normal31,409,1,0,0,0,0,1
14913,14913,204.0,Normal,normal49,50,0,0,0,0,0,0
15040,15040,205.0,Normal,normal31,416,1,0,0,0,0,1
15059,15059,205.0,Normal,normal49,62,0,0,0,0,0,0
15187,15187,206.0,Normal,normal31,422,1,0,0,0,0,1
15206,15206,206.0,Normal,normal49,75,0,0,0,0,0,0
15335,15335,207.0,Normal,normal31,427,1,0,0,0,0,1
15354,15354,207.0,Normal,normal49,89,0,0,0,0,0,0
15484,15484,208.0,Normal,normal31,430,1,0,0,0,0,1
15503,15503,208.0,Normal,normal49,102,0,0,0,0,0,0
15633,15633,209.0,Normal,normal31,435,1,0,0,0,0,1
15652,15652,209.0,Normal,normal49,116,0,0,0,0,0,0
15783,15783,210.0,Normal,normal31,442,1,0,0,0,0,1
15802,15802,210.0,Normal,normal49,130,0,0,0,0,0,0
15934,15934,211.0,Normal,normal31,451,1,0,0,0,0,1
15953,15953,211.0,Normal,normal49,144,0,0,0,0,0,0
16086,16086,212.0,Normal,normal31,462,1,0,0,0,0,1
16105,16105,212.0,Normal,normal49,158,0,0,0,0,0,0
16238,16238,213.0,Normal,normal31,474,1,0,0,0,0,1
16257,16257,213.0,Normal,normal49,172,0,0,0,0,0,0
16391,16391,214.0,Normal,normal31,486,1,0,0,0,0,1
16410,16410,214.0,Normal,normal49,186,0,0,0,0,0,0
16545,16545,215.0,Normal,normal31,499,1,0,0,0,0,1
16564,16564,215.0,Normal,normal49,200,0,0,0,0,0,0
16700,16700,216.0,Normal,normal31,513,1,0,0,0,0,1
16719,16719,216.0,Normal,normal49,213,0,0,0,0,0,0
16855,16855,217.0,Normal,normal31,527,1,0,0,0,0,1
16874,16874,217.0,Normal,normal49,227,0,0,0,0,0,0
17011,17011,218.0,Normal,normal31,541,1,0,0,0,0,1
17030,17030,218.0,Normal,normal49,240,0,0,0,0,0,0
17168,17168,219.0,Normal,normal31,554,1,0,0,0,0,1
17187,17187,219.0,Normal,normal49,253,0,0,0,0,0,0
17326,17326,220.0,Normal,normal31,568,1,0,0,0,0,1
17345,17345,220.0,Normal,normal49,267,0,0,0,0,0,0
17484,17484,221.0,Normal,normal31,582,1,0,0,0,0,1
17503,17503,221.0,Normal,normal49,280,0,0,0,0,0,0
17643,17643,222.0,Normal,normal31,596,1,0,0,0,0,1
17662,17662,222.0,Normal,normal49,294,0,0,0,0,0,0
17803,17803,223.0,Normal,normal31,610,1,0,0,0,0,1
17822,17822,223.0,Normal,normal49,308,0,0,0,0,0,0
17964,17964,224.0,Normal,normal31,624,1,0,0,0,0,1
17983,17983,224.0,Normal,normal49,321,0,0,0,0,0,0
18125,18125,225.0,Normal,normal31,638,1,0,0,0,0,1
18144,18144,225.0,Normal,normal49,335,0,0,0,0,0,0
18287,18287,226.0,Normal,normal31,652,1,0,0,0,0,1
18306,18306,226.0,Normal,normal49,349,0,0,0,0,0,0
18449,18449,227.0,Normal,normal31,666,1,0,0,0,0,1
18468,18468,227.0,Normal,normal49,362,0,0,0,0,0,0
18612,18612,228.0,Normal,normal31,679,1,0,0,0,0,1
18631,18631,228.0,Normal,normal49,376,0,0,0,0,0,0
18775,18775,229.0,Normal,normal31,692,1,0,0,0,0,1
18794,18794,229.0,Normal,normal49,389,0,0,0,0,0,0
18939,18939,230.0,Normal,normal31,706,1,0,0,0,0,1
18958,18958,230.0,Normal,normal49,403,0,0,0,0,0,0
19104,19104,231.0,Normal,normal31,719,1,0,0,0,0,1
19123,19123,231.0,Normal,normal49,416,0,0,0,0,0,0
19270,19270,232.0,Normal,normal31,733,1,0,0,0,0,1
19289,19289,232.0,Normal,normal49,429,0,0,0,0,0,0
19436,19436,233.0,Normal,normal31,746,1,0,0,0,0,1
19455,19455,233.0,Normal,normal49,442,0,0,0,0,0,0
19603,19603,234.0,Normal,normal31,760,1,0,0,0,0,1
19622,19622,234.0,Normal,normal49,455,0,0,0,0,0,0
19771,19771,235.0,Normal,normal31,773,1,0,0,0,0,1
19790,19790,235.0,Normal,normal49,467,0,0,0,0,0,0
19940,19940,236.0,Normal,normal31,786,1,0,0,0,0,1
19959,19959,236.0,Normal,normal49,479,0,0,0,0,0,0
20109,20109,237.0,Normal,normal31,799,1,0,0,0,0,1
