,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
9027,9027,158.0,Slow,slow38,0,0,0,0,0,0,0
9140,9140,159.0,Slow,slow38,0,0,0,0,0,0,0
9254,9254,160.0,Slow,slow38,2,0,0,0,0,0,0
9368,9368,161.0,Slow,slow38,5,0,0,0,0,0,0
9482,9482,162.0,Slow,slow38,9,0,0,0,0,0,0
9597,9597,163.0,Slow,slow38,13,0,0,0,0,0,0
9712,9712,164.0,Slow,slow38,19,0,0,0,0,0,0
9828,9828,165.0,Slow,slow38,25,0,0,0,0,0,0
9944,9944,166.0,Slow,slow38,33,0,0,0,0,0,0
10060,10060,167.0,Slow,slow38,41,0,0,0,0,0,0
10177,10177,168.0,Slow,slow38,49,0,0,0,0,0,0
10296,10296,169.0,Slow,slow38,58,0,0,0,0,0,0
10416,10416,170.0,Slow,slow38,68,0,0,0,0,0,0
10537,10537,171.0,Slow,slow38,77,0,0,0,0,0,0
10660,10660,172.0,Slow,slow38,86,0,0,0,0,0,0
10784,10784,173.0,Slow,slow38,94,0,0,0,0,0,0
10908,10908,174.0,Slow,slow38,102,0,0,0,0,0,0
11033,11033,175.0,Slow,slow38,110,0,0,0,0,0,0
11159,11159,176.0,Slow,slow38,117,0,0,0,0,0,0
11286,11286,177.0,Slow,slow38,123,0,0,0,0,0,0
11413,11413,178.0,Slow,slow38,128,0,0,0,0,0,0
11540,11540,179.0,Slow,slow38,132,0,0,0,0,0,0
11668,11668,180.0,Slow,slow38,135,0,0,0,0,0,0
11797,11797,181.0,Slow,slow38,137,0,0,0,0,0,0
11926,11926,182.0,Slow,slow38,139,0,0,0,0,0,0
12056,12056,183.0,Slow,slow38,141,0,0,0,0,0,0
12187,12187,184.0,Slow,slow38,145,0,0,0,0,0,0
12319,12319,185.0,Slow,slow38,150,0,0,0,0,0,0
12451,12451,186.0,Slow,slow38,155,0,0,0,0,0,0
12584,12584,187.0,Slow,slow38,161,0,0,0,0,0,0
12718,12718,188.0,Slow,slow38,169,0,0,0,0,0,0
12852,12852,189.0,Slow,slow38,177,0,0,0,0,0,0
12986,12986,190.0,Slow,slow38,186,0,0,0,0,0,0
13121,13121,191.0,Slow,slow38,195,0,0,0,0,0,0
13256,13256,192.0,Slow,slow38,205,0,0,0,0,0,0
13393,13393,193.0,Slow,slow38,216,0,0,0,0,0,0
13530,13530,194.0,Slow,slow38,226,0,0,0,0,0,0
13667,13667,195.0,Slow,slow38,238,0,0,0,0,0,0
13806,13806,196.0,Slow,slow38,249,0,0,0,0,0,0
13946,13946,197.0,Slow,slow38,261,0,0,0,0,0,0
14086,14086,198.0,Slow,slow38,272,0,0,0,0,0,0
14228,14228,199.0,Slow,slow38,284,0,0,0,0,0,0
14371,14371,200.0,Slow,slow38,296,0,0,0,0,0,0
14515,14515,201.0,Slow,slow38,308,0,0,0,0,0,0
14659,14659,202.0,Slow,slow38,320,0,0,0,0,0,0
14804,14804,203.0,Slow,slow38,332,0,0,0,0,0,0
14950,14950,204.0,Slow,slow38,344,0,0,0,0,0,0
15097,15097,205.0,Slow,slow38,356,0,0,0,0,0,0
15244,15244,206.0,Slow,slow38,368,0,0,0,0,0,0
15392,15392,207.0,Slow,slow38,380,0,0,0,0,0,0
15541,15541,208.0,Slow,slow38,392,0,0,0,0,0,0
15691,15691,209.0,Slow,slow38,404,0,0,0,0,0,0
15841,15841,210.0,Slow,slow38,416,0,0,0,0,0,0
15992,15992,211.0,Slow,slow38,428,0,0,0,0,0,0
16144,16144,212.0,Slow,slow38,440,0,0,0,0,0,0
16297,16297,213.0,Slow,slow38,452,0,0,0,0,0,0
16450,16450,214.0,Slow,slow38,464,0,0,0,0,0,0
16604,16604,215.0,Slow,slow38,476,0,0,0,0,0,0
16759,16759,216.0,Slow,slow38,488,0,0,0,0,0,0
16915,16915,217.0,Slow,slow38,500,0,0,0,0,0,0
17071,17071,218.0,Slow,slow38,512,0,0,0,0,0,0
17228,17228,219.0,Slow,slow38,523,0,0,0,0,0,0
17386,17386,220.0,Slow,slow38,535,0,0,0,0,0,0
17545,17545,221.0,Slow,slow38,547,0,0,0,0,0,0
17704,17704,222.0,Slow,slow38,559,0,0,0,0,0,0
17864,17864,223.0,Slow,slow38,570,0,0,0,0,0,0
18025,18025,224.0,Slow,slow38,582,0,0,0,0,0,0
18187,18187,225.0,Slow,slow38,593,0,0,0,0,0,0
18349,18349,226.0,Slow,slow38,605,0,0,0,0,0,0
18511,18511,227.0,Slow,slow38,616,0,0,0,0,0,0
18674,18674,228.0,Slow,slow38,627,0,0,0,0,0,0
18838,18838,229.0,Slow,slow38,638,0,0,0,0,0,0
19002,19002,230.0,Slow,slow38,649,0,0,0,0,0,0
19167,19167,231.0,Slow,slow38,660,0,0,0,0,0,0
19333,19333,232.0,Slow,slow38,670,0,0,0,0,0,0
19500,19500,233.0,Slow,slow38,680,0,0,0,0,0,0
19667,19667,234.0,Slow,slow38,690,0,0,0,0,0,0
19835,19835,235.0,Slow,slow38,700,0,0,0,0,0,0
20004,20004,236.0,Slow,slow38,709,0,0,0,0,0,0
20174,20174,237.0,Slow,slow38,717,0,0,0,0,0,0
20344,20344,238.0,Slow,slow38,724,0,0,0,0,0,0
20515,20515,239.0,Slow,slow38,731,0,0,0,0,0,0
20686,20686,240.0,Slow,slow38,737,0,0,0,0,0,0
20858,20858,241.0,Slow,slow38,744,0,0,0,0,0,0
21030,21030,242.0,Slow,slow38,751,1,0,0,0,0,1
21203,21203,243.0,Slow,slow38,758,2,0,0,0,0,2
21377,21377,244.0,Slow,slow38,765,2,0,0,0,0,2
21552,21552,245.0,Slow,slow38,773,2,0,0,0,0,2
21727,21727,246.0,Slow,slow38,781,2,0,0,0,0,2
21903,21903,247.0,Slow,slow38,791,2,0,0,0,0,2
22080,22080,248.0,Slow,slow38,801,2,0,0,0,0,2
22258,22258,249.0,Slow,slow38,811,2,0,0,0,0,2
22436,22436,250.0,Slow,slow38,822,2,0,0,0,0,2
22615,22615,251.0,Slow,slow38,833,2,0,0,0,0,2
22795,22795,252.0,Slow,slow38,844,2,0,0,0,0,2
22976,22976,253.0,Slow,slow38,856,2,0,0,0,0,2
23155,23155,254.0,Slow,slow38,867,2,0,0,0,0,2
23335,23335,255.0,Slow,slow38,879,2,0,0,0,0,2
23516,23516,256.0,Slow,slow38,891,2,0,0,0,0,2
23697,23697,257.0,Slow,slow38,903,2,0,0,0,0,2
23878,23878,258.0,Slow,slow38,915,2,0,0,0,0,2
24059,24059,259.0,Slow,slow38,927,2,0,0,0,0,2
24240,24240,260.0,Slow,slow38,939,2,0,0,0,0,2
24422,24422,261.0,Slow,slow38,951,2,0,0,0,0,2
24604,24604,262.0,Slow,slow38,963,2,0,0,0,0,2
24787,24787,263.0,Slow,slow38,975,2,0,0,0,0,2
24969,24969,264.0,Slow,slow38,987,2,0,0,0,0,2
25152,25152,265.0,Slow,slow38,999,2,0,0,0,0,2
25335,25335,266.0,Slow,slow38,1010,2,0,0,0,0,2
25519,25519,267.0,Slow,slow38,1022,2,0,0,0,0,2
25704,25704,268.0,Slow,slow38,1033,2,0,0,0,0,2
25890,25890,269.0,Slow,slow38,1044,2,0,0,0,0,2
26076,26076,270.0,Slow,slow38,1056,2,0,0,0,0,2
26263,26263,271.0,Slow,slow38,1066,2,0,0,0,0,2
26450,26450,272.0,Slow,slow38,1077,2,0,0,0,0,2
26638,26638,273.0,Slow,slow38,1087,2,0,0,0,0,2
26827,26827,274.0,Slow,slow38,1097,2,0,0,0,0,2
27016,27016,275.0,Slow,slow38,1107,2,0,0,0,0,2
27206,27206,276.0,Slow,slow38,1115,2,0,0,0,0,2
27396,27396,277.0,Slow,slow38,1124,2,0,0,0,0,2
27586,27586,278.0,Slow,slow38,1131,2,0,0,0,0,2
27777,27777,279.0,Slow,slow38,1137,2,0,0,0,0,2
27969,27969,280.0,Slow,slow38,1142,2,0,0,0,0,2
28162,28162,281.0,Slow,slow38,1146,2,0,0,0,0,2
28355,28355,282.0,Slow,slow38,1148,2,0,0,0,0,2
28549,28549,283.0,Slow,slow38,1151,2,0,0,0,0,2
28744,28744,284.0,Slow,slow38,1152,2,0,0,0,0,2
28939,28939,285.0,Slow,slow38,1153,2,0,0,0,0,2
29133,29133,286.0,Slow,slow38,1154,2,0,0,0,0,2
29327,29327,287.0,Slow,slow38,1155,2,0,0,0,0,2
29521,29521,288.0,Slow,slow38,1155,2,0,0,0,0,2
29716,29716,289.0,Slow,slow38,1155,2,0,0,0,0,2
29911,29911,290.0,Slow,slow38,1156,2,0,0,0,0,2
30106,30106,291.0,Slow,slow38,1156,2,0,0,0,0,2
30302,30302,292.0,Slow,slow38,1156,2,0,0,0,0,2
30499,30499,293.0,Slow,slow38,1156,2,0,0,0,0,2
30696,30696,294.0,Slow,slow38,1156,2,0,0,0,0,2
30895,30895,295.0,Slow,slow38,1157,2,0,0,0,0,2
31094,31094,296.0,Slow,slow38,1159,2,0,0,0,0,2
31294,31294,297.0,Slow,slow38,1162,2,0,0,0,0,2
