,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
255,255,28.0,Dangerous,dang6,0,0,0,0,0,0,0
274,274,29.0,Dangerous,dang6,3,0,1,0,0,0,1
294,294,30.0,Dangerous,dang6,6,0,2,0,1,0,3
314,314,31.0,Dangerous,dang6,8,0,2,0,1,0,3
335,335,32.0,Dangerous,dang6,13,0,3,0,1,0,4
357,357,33.0,Dangerous,dang6,15,0,3,0,1,0,4
380,380,34.0,Dangerous,dang6,21,0,3,0,1,0,4
404,404,35.0,Dangerous,dang6,29,0,3,0,1,0,4
428,428,36.0,Dangerous,dang6,39,0,4,0,1,0,5
453,453,37.0,Dangerous,dang6,48,0,5,0,1,0,6
479,479,38.0,Dangerous,dang6,55,0,5,0,1,0,6
506,506,39.0,Dangerous,dang6,60,0,5,0,1,0,6
533,533,40.0,Dangerous,dang6,63,0,5,0,1,0,6
561,561,41.0,Dangerous,dang6,65,0,6,0,2,0,8
590,590,42.0,Dangerous,dang6,67,0,6,0,2,0,8
621,621,43.0,Dangerous,dang6,71,0,6,0,2,0,8
652,652,44.0,Dangerous,dang6,72,0,6,0,2,0,8
684,684,45.0,Dangerous,dang6,78,0,6,0,2,0,8
717,717,46.0,Dangerous,dang6,87,0,6,0,2,0,8
750,750,47.0,Dangerous,dang6,99,0,7,0,2,0,9
784,784,48.0,Dangerous,dang6,112,0,8,0,2,0,10
818,818,49.0,Dangerous,dang6,125,0,9,0,2,0,11
853,853,50.0,Dangerous,dang6,139,0,10,0,2,0,12
889,889,51.0,Dangerous,dang6,152,0,11,0,2,0,13
926,926,52.0,Dangerous,dang6,166,0,12,0,2,0,14
964,964,53.0,Dangerous,dang6,180,0,13,0,2,0,15
1003,1003,54.0,Dangerous,dang6,194,0,14,0,2,0,16
1043,1043,55.0,Dangerous,dang6,207,0,14,0,2,0,16
1084,1084,56.0,Dangerous,dang6,217,0,14,0,2,0,16
1126,1126,57.0,Dangerous,dang6,226,0,15,0,2,0,17
1169,1169,58.0,Dangerous,dang6,233,0,15,0,2,0,17
1212,1212,59.0,Dangerous,dang6,239,0,15,0,2,0,17
1256,1256,60.0,Dangerous,dang6,242,0,16,0,2,0,18
1300,1300,61.0,Dangerous,dang6,245,0,17,0,3,0,20
1345,1345,62.0,Dangerous,dang6,247,0,18,0,4,0,22
1391,1391,63.0,Dangerous,dang6,248,0,19,0,5,0,24
1438,1438,64.0,Dangerous,dang6,249,0,20,0,6,0,26
1485,1485,65.0,Dangerous,dang6,249,0,20,0,7,0,27
1533,1533,66.0,Dangerous,dang6,250,0,20,0,8,0,28
1582,1582,67.0,Dangerous,dang6,250,0,20,0,9,0,29
1632,1632,68.0,Dangerous,dang6,250,0,20,0,10,0,30
1682,1682,69.0,Dangerous,dang6,250,0,20,0,11,0,31
1733,1733,70.0,Dangerous,dang6,250,0,20,0,12,0,32
1785,1785,71.0,Dangerous,dang6,250,0,20,0,13,0,33
1833,1833,72.0,Dangerous,dang17,0,0,0,0,0,0,0
1838,1838,72.0,Dangerous,dang6,250,0,20,0,14,0,34
1886,1886,73.0,Dangerous,dang17,3,0,0,0,0,0,0
1891,1891,73.0,Dangerous,dang6,250,0,20,0,15,0,35
1940,1940,74.0,Dangerous,dang17,11,0,0,0,0,0,0
1945,1945,74.0,Dangerous,dang6,250,0,20,0,16,0,36
1995,1995,75.0,Dangerous,dang17,21,0,1,0,0,0,1
2000,2000,75.0,Dangerous,dang6,250,0,20,0,17,0,37
2050,2050,76.0,Dangerous,dang17,33,0,2,0,0,0,2
2056,2056,76.0,Dangerous,dang6,250,0,20,0,18,0,38
2106,2106,77.0,Dangerous,dang17,44,0,3,0,0,0,3
2112,2112,77.0,Dangerous,dang6,250,0,20,0,19,0,39
2163,2163,78.0,Dangerous,dang17,56,0,4,0,0,0,4
2169,2169,78.0,Dangerous,dang6,250,0,20,0,20,0,40
2220,2220,79.0,Dangerous,dang17,67,0,5,0,0,0,5
2226,2226,79.0,Dangerous,dang6,250,0,20,0,21,0,41
2277,2277,80.0,Dangerous,dang17,78,0,6,0,0,0,6
2284,2284,80.0,Dangerous,dang6,250,0,20,0,21,0,41
2336,2336,81.0,Dangerous,dang17,87,0,7,0,0,0,7
2343,2343,81.0,Dangerous,dang6,253,0,20,0,21,0,41
2396,2396,82.0,Dangerous,dang17,95,0,8,0,0,0,8
2403,2403,82.0,Dangerous,dang6,257,0,20,0,21,0,41
2457,2457,83.0,Dangerous,dang17,101,0,9,0,0,0,9
2464,2464,83.0,Dangerous,dang6,263,0,20,0,21,0,41
2518,2518,84.0,Dangerous,dang17,105,0,10,0,0,0,10
2526,2526,84.0,Dangerous,dang6,271,0,20,0,21,0,41
2580,2580,85.0,Dangerous,dang17,109,0,11,0,1,0,12
2588,2588,85.0,Dangerous,dang6,281,0,20,0,21,0,41
2643,2643,86.0,Dangerous,dang17,110,0,11,0,1,0,12
2651,2651,86.0,Dangerous,dang6,293,0,20,0,21,0,41
2707,2707,87.0,Dangerous,dang17,112,0,11,0,1,0,12
2715,2715,87.0,Dangerous,dang6,305,0,20,0,21,0,41
2771,2771,88.0,Dangerous,dang17,116,0,12,0,1,0,13
2780,2780,88.0,Dangerous,dang6,318,0,21,0,21,0,42
2836,2836,89.0,Dangerous,dang17,118,0,12,0,1,0,13
2845,2845,89.0,Dangerous,dang6,331,0,21,0,21,0,42
2902,2902,90.0,Dangerous,dang17,122,1,12,0,1,0,14
2911,2911,90.0,Dangerous,dang6,345,0,21,0,21,0,42
2969,2969,91.0,Dangerous,dang17,127,1,12,0,1,0,14
2978,2978,91.0,Dangerous,dang6,359,0,21,0,21,0,42
3036,3036,92.0,Dangerous,dang17,135,1,12,0,1,0,14
3046,3046,92.0,Dangerous,dang6,373,0,21,0,21,0,42
3104,3104,93.0,Dangerous,dang17,146,1,12,0,1,0,14
3114,3114,93.0,Dangerous,dang6,387,0,21,0,21,0,42
3173,3173,94.0,Dangerous,dang17,160,1,12,0,1,0,14
3183,3183,94.0,Dangerous,dang6,401,0,21,0,21,0,42
3243,3243,95.0,Dangerous,dang17,174,1,13,0,1,0,15
3253,3253,95.0,Dangerous,dang6,415,0,22,0,21,0,43
3313,3313,96.0,Dangerous,dang17,188,1,14,0,1,0,16
3324,3324,96.0,Dangerous,dang6,429,0,23,0,21,0,44
3384,3384,97.0,Dangerous,dang17,202,1,15,0,1,0,17
3395,3395,97.0,Dangerous,dang6,443,0,23,0,21,0,44
3455,3455,98.0,Dangerous,dang17,216,1,16,0,1,0,18
3466,3466,98.0,Dangerous,dang6,457,0,23,0,21,0,44
3527,3527,99.0,Dangerous,dang17,230,1,16,0,1,0,18
3538,3538,99.0,Dangerous,dang6,471,0,24,0,21,0,45
3599,3599,100.0,Dangerous,dang17,244,1,17,0,1,0,19
3610,3610,100.0,Dangerous,dang6,485,0,24,0,21,0,45
3671,3671,101.0,Dangerous,dang17,258,1,17,0,1,0,19
3682,3682,101.0,Dangerous,dang6,499,0,24,0,21,0,45
3744,3744,102.0,Dangerous,dang17,271,1,18,0,1,0,20
3755,3755,102.0,Dangerous,dang6,513,0,24,0,21,0,45
3817,3817,103.0,Dangerous,dang17,285,1,19,0,1,0,21
3828,3828,103.0,Dangerous,dang6,526,0,24,0,21,0,45
3890,3890,104.0,Dangerous,dang17,298,1,20,0,1,0,22
3902,3902,104.0,Dangerous,dang6,540,0,24,0,21,0,45
3964,3964,105.0,Dangerous,dang17,311,1,21,0,1,0,23
3976,3976,105.0,Dangerous,dang6,554,0,24,0,21,0,45
4039,4039,106.0,Dangerous,dang17,323,1,22,0,1,0,24
4051,4051,106.0,Dangerous,dang6,568,0,24,0,21,0,45
4114,4114,107.0,Dangerous,dang17,335,1,23,0,1,0,25
4126,4126,107.0,Dangerous,dang6,582,0,24,0,21,0,45
4190,4190,108.0,Dangerous,dang17,345,1,24,0,1,0,26
4203,4203,108.0,Dangerous,dang6,596,0,24,0,21,0,45
4267,4267,109.0,Dangerous,dang17,355,1,25,0,1,0,27
4280,4280,109.0,Dangerous,dang6,610,0,24,0,21,0,45
4345,4345,110.0,Dangerous,dang17,363,1,26,0,1,0,28
4358,4358,110.0,Dangerous,dang6,624,0,24,0,21,0,45
4424,4424,111.0,Dangerous,dang17,369,1,27,0,1,0,29
4437,4437,111.0,Dangerous,dang6,638,0,24,0,21,0,45
4503,4503,112.0,Dangerous,dang17,373,1,28,0,1,0,30
4517,4517,112.0,Dangerous,dang6,652,0,24,0,21,0,45
4583,4583,113.0,Dangerous,dang17,377,1,29,0,2,0,32
4597,4597,113.0,Dangerous,dang6,666,0,25,0,21,0,46
4664,4664,114.0,Dangerous,dang17,379,1,30,0,3,0,34
4678,4678,114.0,Dangerous,dang6,680,0,26,0,21,0,47
4746,4746,115.0,Dangerous,dang17,380,1,30,0,3,0,34
4760,4760,115.0,Dangerous,dang6,694,0,27,0,21,0,48
4828,4828,116.0,Dangerous,dang17,384,1,31,0,3,0,35
4843,4843,116.0,Dangerous,dang6,707,0,28,0,21,0,49
4911,4911,117.0,Dangerous,dang17,386,1,31,0,3,0,35
4926,4926,117.0,Dangerous,dang6,721,0,29,0,21,0,50
4995,4995,118.0,Dangerous,dang17,391,1,31,0,3,0,35
5010,5010,118.0,Dangerous,dang6,734,0,30,0,21,0,51
5080,5080,119.0,Dangerous,dang17,399,1,31,0,3,0,35
5095,5095,119.0,Dangerous,dang6,747,0,30,0,21,0,51
5165,5165,120.0,Dangerous,dang17,410,1,31,0,3,0,35
5181,5181,120.0,Dangerous,dang6,760,0,30,0,21,0,51
5251,5251,121.0,Dangerous,dang17,423,1,32,0,3,0,36
5267,5267,121.0,Dangerous,dang6,772,0,30,0,21,0,51
5338,5338,122.0,Dangerous,dang17,437,1,32,0,3,0,36
5354,5354,122.0,Dangerous,dang6,785,0,31,0,21,0,52
5426,5426,123.0,Dangerous,dang17,451,1,32,0,3,0,36
5442,5442,123.0,Dangerous,dang6,799,0,32,0,21,0,53
5514,5514,124.0,Dangerous,dang17,465,1,33,0,3,0,37
5531,5531,124.0,Dangerous,dang6,813,0,33,0,21,0,54
5603,5603,125.0,Dangerous,dang17,479,1,34,0,3,0,38
5620,5620,125.0,Dangerous,dang6,826,0,34,0,21,0,55
5693,5693,126.0,Dangerous,dang17,494,1,34,0,3,0,38
5710,5710,126.0,Dangerous,dang6,840,0,34,0,21,0,55
5784,5784,127.0,Dangerous,dang17,507,1,34,0,3,0,38
5801,5801,127.0,Dangerous,dang6,854,0,34,0,21,0,55
5875,5875,128.0,Dangerous,dang17,520,1,35,0,3,0,39
5893,5893,128.0,Dangerous,dang6,868,0,34,0,21,0,55
5967,5967,129.0,Dangerous,dang17,533,1,35,0,3,0,39
5985,5985,129.0,Dangerous,dang6,882,0,35,0,21,0,56
6060,6060,130.0,Dangerous,dang17,544,1,35,0,3,0,39
6078,6078,130.0,Dangerous,dang6,896,0,35,0,21,0,56
6154,6154,131.0,Dangerous,dang17,552,1,35,0,3,1,40
6172,6172,131.0,Dangerous,dang6,910,0,35,0,21,0,56
6248,6248,132.0,Dangerous,dang17,563,1,35,0,3,1,40
6267,6267,132.0,Dangerous,dang6,924,0,36,0,21,0,57
6343,6343,133.0,Dangerous,dang17,572,1,36,0,3,1,41
6362,6362,133.0,Dangerous,dang6,938,0,37,0,21,0,58
6439,6439,134.0,Dangerous,dang17,580,1,37,0,3,1,42
6458,6458,134.0,Dangerous,dang6,952,0,37,0,21,0,58
6536,6536,135.0,Dangerous,dang17,586,1,37,0,3,1,42
6555,6555,135.0,Dangerous,dang6,966,0,37,0,21,0,58
6633,6633,136.0,Dangerous,dang17,590,1,37,0,3,1,42
6653,6653,136.0,Dangerous,dang6,979,0,38,0,21,0,59
6731,6731,137.0,Dangerous,dang17,592,1,37,0,3,1,42
6751,6751,137.0,Dangerous,dang6,992,0,39,0,21,0,60
6830,6830,138.0,Dangerous,dang17,593,1,37,0,3,1,42
6850,6850,138.0,Dangerous,dang6,1003,0,39,0,21,0,60
6930,6930,139.0,Dangerous,dang17,598,1,37,0,3,1,42
6950,6950,139.0,Dangerous,dang6,1014,0,39,0,21,0,60
7030,7030,140.0,Dangerous,dang17,600,1,37,0,3,1,42
7051,7051,140.0,Dangerous,dang6,1024,0,39,0,21,0,60
7130,7130,141.0,Dangerous,dang17,607,1,37,0,3,1,42
7150,7150,141.0,Dangerous,dang6,1032,0,40,0,21,0,61
7230,7230,142.0,Dangerous,dang17,616,1,37,0,3,1,42
7250,7250,142.0,Dangerous,dang6,1039,0,41,0,21,0,62
7331,7331,143.0,Dangerous,dang17,624,1,37,0,3,1,42
7351,7351,143.0,Dangerous,dang6,1044,0,42,0,21,0,63
7432,7432,144.0,Dangerous,dang17,633,1,37,0,3,1,42
7453,7453,144.0,Dangerous,dang6,1047,0,43,0,21,0,64
7534,7534,145.0,Dangerous,dang17,644,1,37,0,3,1,42
7555,7555,145.0,Dangerous,dang6,1050,0,44,0,22,0,66
7637,7637,146.0,Dangerous,dang17,656,1,37,0,3,1,42
7658,7658,146.0,Dangerous,dang6,1052,0,45,0,23,0,68
7741,7741,147.0,Dangerous,dang17,669,1,38,0,3,1,43
7762,7762,147.0,Dangerous,dang6,1053,0,46,0,24,0,70
7845,7845,148.0,Dangerous,dang17,681,1,39,0,3,1,44
7867,7867,148.0,Dangerous,dang6,1054,0,46,0,25,0,71
7950,7950,149.0,Dangerous,dang17,694,1,40,0,3,1,45
7972,7972,149.0,Dangerous,dang6,1054,0,46,0,26,0,72
8056,8056,150.0,Dangerous,dang17,706,1,41,0,3,1,46
8078,8078,150.0,Dangerous,dang6,1054,0,46,0,27,0,73
8163,8163,151.0,Dangerous,dang17,718,1,41,0,3,1,46
8185,8185,151.0,Dangerous,dang6,1054,0,46,0,27,0,73
