,VehicleID,Label,Accuracy,Loss,epoch
0,Slow_5,Slow,0.0,0.18994336118170288,0.0
1,Slow_20,Slow,0.0,0.1899451374771103,0.0
2,Slow_23,Slow,0.0,0.1899436033462544,0.0
3,Slow_9,Slow,0.0,0.1899465179775132,0.0
4,Slow_28,Slow,0.0,0.18994568516842472,0.0
5,Normal_6,Normal,0.03400481508181558,0.19125859019548996,0.0
6,Normal_5,Normal,0.0,0.19053598999687768,0.0
7,Normal_13,Normal,0.0,0.18993519405523937,0.0
8,Normal_9,Normal,0.10533172563857358,0.19384130338827768,0.0
9,Normal_1,Normal,0.16753224995811694,0.19323688096233776,0.0
10,Dangerous_32,Dangerous,0.13634513634513634,0.21071451475533345,0.0
11,Dangerous_1,Dangerous,0.4862674470959028,0.2049649957846314,0.0
12,Dangerous_31,Dangerous,0.27074893634346436,0.19823109443920353,0.0
13,Dangerous_8,Dangerous,0.3423763683539834,0.19266248636372196,0.0
14,Dangerous_21,Dangerous,0.03078106964217006,0.19282130973930733,0.0
15,Slow_23,Slow,0.0,0.1761574514425999,1.0
16,Slow_17,Slow,0.0,0.17615840557324458,1.0
17,Slow_26,Slow,0.0,0.1761556299542313,1.0
18,Slow_7,Slow,0.0,0.17615976459808178,1.0
19,Slow_13,Slow,0.0,0.17615836881251143,1.0
20,Normal_22,Normal,0.0,0.1761743553553269,1.0
21,Normal_14,Normal,0.0,0.17615832190732567,1.0
22,Normal_23,Normal,0.6720298243892867,0.17537817916984838,1.0
23,Normal_8,Normal,0.0,0.17628820108369067,1.0
24,Normal_1,Normal,0.14519461663036803,0.17878483435405151,1.0
25,Dangerous_22,Dangerous,0.0,0.1837723241360099,1.0
26,Dangerous_8,Dangerous,0.3546589286536778,0.17826401303231365,1.0
27,Dangerous_30,Dangerous,0.15905171692142844,0.20634337458799432,1.0
28,Dangerous_13,Dangerous,0.11059873280095976,0.188352005909101,1.0
29,Dangerous_14,Dangerous,0.0,0.19304037426692852,1.0
30,Slow_13,Slow,0.0,0.16290502687728645,2.0
31,Slow_29,Slow,0.0,0.1629066378167532,2.0
32,Slow_8,Slow,0.0,0.16290595312023637,2.0
33,Slow_18,Slow,0.0,0.1629061952334683,2.0
34,Slow_6,Slow,0.0,0.16290435670935285,2.0
35,Normal_8,Normal,0.0,0.16292885859758396,2.0
36,Normal_0,Normal,0.0,0.16290519330333328,2.0
37,Normal_28,Normal,0.12790482648092216,0.1656347824447959,2.0
38,Normal_27,Normal,0.09673338790088548,0.16838805982044766,2.0
39,Normal_10,Normal,0.0,0.16344179945891021,2.0
40,Dangerous_0,Dangerous,0.05264594626213781,0.16290773421600274,2.0
41,Dangerous_15,Dangerous,0.0669505867475033,0.16659368532145674,2.0
42,Dangerous_2,Dangerous,0.0,0.16291666147185535,2.0
43,Dangerous_25,Dangerous,0.15128906573820775,0.16584982768452136,2.0
44,Dangerous_32,Dangerous,0.16687016687016687,0.17526556299223253,2.0
45,Slow_25,Slow,0.0,0.14972528282700892,3.0
46,Slow_2,Slow,0.0,0.14972470355977924,3.0
47,Slow_0,Slow,0.0,0.1497244800667505,3.0
48,Slow_15,Slow,0.0,0.14972497426209602,3.0
49,Slow_12,Slow,0.0,0.14972404389400182,3.0
50,Normal_9,Normal,0.05959558161129821,0.15119899069586545,3.0
51,Normal_25,Normal,0.1079677264039452,0.1508591026901754,3.0
52,Normal_27,Normal,0.09375697596547362,0.1551646849371138,3.0
53,Normal_12,Normal,0.05301375144582958,0.15100185545562964,3.0
54,Normal_15,Normal,0.18165038161229363,0.15300467892197633,3.0
55,Dangerous_7,Dangerous,0.2134231957315361,0.1502946238768728,3.0
56,Dangerous_22,Dangerous,0.0,0.15253797080367804,3.0
57,Dangerous_15,Dangerous,0.07067006378903126,0.15205095173910507,3.0
58,Dangerous_29,Dangerous,0.0,0.15096785489762768,3.0
59,Dangerous_21,Dangerous,0.055790688726433245,0.1499659764312702,3.0
60,Slow_22,Slow,0.0,0.13688407161239693,4.0
61,Slow_19,Slow,0.0,0.13687827192477625,4.0
62,Slow_25,Slow,0.0,0.13688379138815704,4.0
63,Slow_0,Slow,0.0,0.13688317731067584,4.0
64,Slow_30,Slow,0.0,0.1368832482402058,4.0
65,Normal_18,Normal,0.0,0.13703744479201058,4.0
66,Normal_3,Normal,0.06476874613595549,0.13813696950393434,4.0
67,Normal_11,Normal,0.07364766356544873,0.14474031111368765,4.0
68,Normal_21,Normal,0.0,0.1369416333839927,4.0
69,Normal_28,Normal,0.1340689145040991,0.13787686830676754,4.0
70,Dangerous_20,Dangerous,0.27040868585475775,0.1541946802619864,4.0
71,Dangerous_7,Dangerous,0.22652812880277076,0.13706788538317932,4.0
72,Dangerous_1,Dangerous,0.36470058532192706,0.14560937609759494,4.0
73,Dangerous_23,Dangerous,0.18604492387519628,0.14480680119913217,4.0
74,Dangerous_31,Dangerous,0.23207051686582658,0.13865542772691697,4.0
75,Slow_24,Slow,0.0,0.12446339058371081,5.0
76,Slow_5,Slow,0.0,0.12446124032559136,5.0
77,Slow_25,Slow,0.0,0.12446281651458585,5.0
78,Slow_21,Slow,0.0,0.12444458206241228,5.0
79,Slow_2,Slow,0.0,0.12446271314615419,5.0
80,Normal_7,Normal,0.17751912448299842,0.12430480178401956,5.0
81,Normal_16,Normal,0.03133580040587323,0.12445317966621795,5.0
82,Normal_4,Normal,0.3279197469778994,0.13080764717189017,5.0
83,Normal_25,Normal,0.12255795970177563,0.12542728954620325,5.0
84,Normal_28,Normal,0.21882512482278246,0.12504190769362497,5.0
