Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
94,38.0,Normal,Normal1,19,0,0,0,0,0,0
95,38.0,Slow,Slow1,10,0,0,0,0,0,0
96,38.0,Normal,normal.0,2,0,0,0,0,0,0
97,39.0,Normal,Normal1,23,0,0,0,0,0,0
98,39.0,Slow,Slow1,10,0,0,0,0,0,0
99,39.0,Normal,normal.0,2,0,0,0,0,0,0
100,40.0,Normal,Normal1,29,0,0,0,0,0,0
101,40.0,Slow,Slow1,11,0,0,0,0,0,0
102,40.0,Normal,normal.0,2,0,0,0,0,0,0
103,41.0,Normal,Normal1,37,0,0,0,0,0,0
104,41.0,Slow,Slow1,13,0,0,0,0,0,0
105,41.0,Normal,normal.0,3,0,0,0,0,0,0
106,42.0,Normal,Normal1,46,0,0,0,0,0,0
107,42.0,Slow,Slow1,16,0,0,0,0,0,0
108,42.0,Normal,normal.0,5,0,0,0,0,0,0
109,43.0,Dangerous,Dang.0,0,0,0,0,1,0,1
110,43.0,Normal,Normal1,57,0,0,0,0,0,0
111,43.0,Slow,Slow1,20,0,0,0,0,0,0
112,43.0,Normal,normal.0,7,0,0,0,0,0,0
113,44.0,Dangerous,Dang.0,1,0,0,0,1,0,1
114,44.0,Normal,Normal1,68,0,0,0,0,0,0
115,44.0,Slow,Slow1,25,0,0,0,0,0,0
116,44.0,Normal,normal.0,10,0,0,0,0,0,0
117,45.0,Dangerous,Dang.0,4,0,1,0,1,0,2
118,45.0,Normal,Normal1,79,1,0,0,0,0,1
119,45.0,Slow,Slow1,30,0,0,0,0,0,0
120,45.0,Normal,normal.0,13,0,0,0,0,0,0
121,46.0,Dangerous,Dang.0,8,0,2,0,1,0,3
122,46.0,Normal,Normal1,91,2,0,0,0,0,2
123,46.0,Slow,Slow1,35,0,0,0,0,0,0
124,46.0,Normal,normal.0,17,0,0,0,0,0,0
125,46.0,Slow,s.0,0,0,0,0,0,0,0
126,47.0,Dangerous,Dang.0,12,0,2,0,1,0,3
127,47.0,Normal,Normal1,102,2,0,0,0,0,2
128,47.0,Slow,Slow1,42,0,0,0,0,0,0
129,47.0,Normal,normal.0,22,0,0,0,0,0,0
130,47.0,Slow,s.0,0,0,0,0,0,0,0
131,48.0,Dangerous,Dang.0,17,0,3,0,1,0,4
132,48.0,Normal,Normal1,113,2,0,0,0,0,2
133,48.0,Slow,Slow1,49,0,0,0,0,0,0
134,48.0,Normal,normal.0,28,0,0,0,0,0,0
135,48.0,Slow,s.0,1,0,0,0,0,0,0
136,49.0,Dangerous,Dang.0,23,0,3,0,1,0,4
137,49.0,Normal,Normal1,125,2,0,0,0,0,2
138,49.0,Slow,Slow1,55,0,0,0,0,0,0
139,49.0,Normal,normal.0,35,0,0,0,0,0,0
140,49.0,Slow,s.0,3,0,0,0,0,0,0
141,50.0,Dangerous,Dang.0,30,0,3,0,1,0,4
142,50.0,Normal,Normal1,136,3,0,0,0,0,3
143,50.0,Slow,Slow1,61,0,0,0,0,0,0
144,50.0,Normal,normal.0,44,0,0,0,0,0,0
145,50.0,Slow,s.0,5,0,0,0,0,0,0
146,51.0,Dangerous,Dang.0,40,0,3,0,1,0,4
147,51.0,Normal,Normal1,147,3,0,0,0,0,3
148,51.0,Slow,Slow1,68,0,0,0,0,0,0
149,51.0,Normal,normal.0,55,0,0,0,0,0,0
150,51.0,Normal,normal.1,0,0,0,0,0,0,0
151,51.0,Slow,s.0,9,0,0,0,0,0,0
152,52.0,Dangerous,Dang.0,51,0,3,0,1,0,4
153,52.0,Normal,Normal1,159,3,0,0,0,0,3
154,52.0,Slow,Slow1,74,0,0,0,0,0,0
155,52.0,Normal,normal.0,66,0,0,0,0,0,0
156,52.0,Normal,normal.1,0,0,0,0,0,0,0
157,52.0,Slow,s.0,13,0,0,0,0,0,0
158,53.0,Dangerous,Dang.0,61,0,3,0,1,0,4
159,53.0,Normal,Normal1,172,3,0,0,0,0,3
160,53.0,Slow,Slow1,81,0,0,0,0,0,0
161,53.0,Normal,normal.0,78,1,0,0,0,0,1
162,53.0,Normal,normal.1,3,0,0,0,0,0,0
163,53.0,Slow,s.0,18,0,0,0,0,0,0
164,54.0,Dangerous,Dang.0,68,0,3,0,1,0,4
165,54.0,Dangerous,Dang.1,0,0,0,0,1,0,1
166,54.0,Normal,Normal1,186,3,0,0,0,0,3
167,54.0,Slow,Slow1,87,0,0,0,0,0,0
168,54.0,Normal,normal.0,89,2,0,0,0,0,2
169,54.0,Normal,normal.1,6,0,0,0,0,0,0
170,54.0,Slow,s.0,23,0,0,0,0,0,0
171,55.0,Dangerous,Dang.0,78,1,3,0,1,0,5
172,55.0,Dangerous,Dang.1,1,0,0,0,1,0,1
173,55.0,Normal,Normal1,200,3,0,0,0,0,3
174,55.0,Slow,Slow1,93,0,0,0,0,0,0
175,55.0,Normal,normal.0,100,2,0,0,0,0,2
176,55.0,Normal,normal.1,10,0,0,0,0,0,0
177,55.0,Slow,s.0,28,0,0,0,0,0,0
178,56.0,Dangerous,Dang.0,85,1,3,0,1,0,5
179,56.0,Dangerous,Dang.1,5,0,1,0,1,0,2
180,56.0,Normal,Normal1,213,3,0,0,0,0,3
181,56.0,Slow,Slow1,100,0,0,0,0,0,0
182,56.0,Normal,normal.0,112,2,0,0,0,0,2
183,56.0,Normal,normal.1,15,0,0,0,0,0,0
184,56.0,Slow,s.0,33,0,0,0,0,0,0
185,57.0,Dangerous,Dang.0,93,1,4,0,1,0,6
186,57.0,Dangerous,Dang.1,10,0,1,0,1,0,2
187,57.0,Normal,Normal1,227,3,0,0,0,0,3
188,57.0,Slow,Slow1,106,0,0,0,0,0,0
189,57.0,Normal,normal.0,123,2,0,0,0,0,2
190,57.0,Normal,normal.1,20,0,0,0,0,0,0
191,57.0,Slow,s.0,39,0,0,0,0,0,0
192,57.0,Slow,s.1,0,0,0,0,0,0,0
193,58.0,Dangerous,Dang.0,100,1,5,0,1,0,7
194,58.0,Dangerous,Dang.1,15,0,2,0,1,0,3
195,58.0,Normal,Normal1,241,3,0,0,0,0,3
196,58.0,Slow,Slow1,113,0,0,0,0,0,0
197,58.0,Normal,normal.0,135,3,0,0,0,0,3
198,58.0,Normal,normal.1,25,0,0,0,0,0,0
199,58.0,Slow,s.0,46,0,0,0,0,0,0
200,58.0,Slow,s.1,0,0,0,0,0,0,0
201,59.0,Dangerous,Dang.0,107,1,5,0,1,0,7
202,59.0,Dangerous,Dang.1,21,0,2,0,1,0,3
203,59.0,Normal,Normal1,254,3,0,0,0,0,3
204,59.0,Slow,Slow1,119,0,0,0,0,0,0
205,59.0,Normal,normal.0,146,3,0,0,0,0,3
206,59.0,Normal,normal.1,31,0,0,0,0,0,0
207,59.0,Slow,s.0,52,0,0,0,0,0,0
208,59.0,Slow,s.1,2,0,0,0,0,0,0
209,60.0,Dangerous,Dang.0,118,1,5,0,1,0,7
210,60.0,Dangerous,Dang.1,26,0,2,0,1,0,3
211,60.0,Normal,Normal1,267,3,0,0,0,0,3
212,60.0,Slow,Slow1,126,0,0,0,0,0,0
213,60.0,Normal,normal.0,159,3,0,0,0,0,3
214,60.0,Normal,normal.1,38,0,0,0,0,0,0
215,60.0,Slow,s.0,59,0,0,0,0,0,0
216,60.0,Slow,s.1,4,0,0,0,0,0,0
217,61.0,Dangerous,Dang.0,129,2,5,0,1,0,8
218,61.0,Dangerous,Dang.1,33,0,2,0,1,0,3
219,61.0,Normal,Normal1,280,3,0,0,0,0,3
220,61.0,Slow,Slow1,132,0,0,0,0,0,0
221,61.0,Normal,normal.0,172,3,0,0,0,0,3
222,61.0,Normal,normal.1,48,0,0,0,0,0,0
223,61.0,Normal,normal.2,0,0,0,0,0,0,0
224,61.0,Slow,s.0,65,0,0,0,0,0,0
225,61.0,Slow,s.1,7,0,0,0,0,0,0
226,62.0,Dangerous,Dang.0,140,2,5,0,1,0,8
227,62.0,Dangerous,Dang.1,43,0,2,0,1,0,3
228,62.0,Normal,Normal1,293,3,0,0,0,0,3
229,62.0,Slow,Slow1,138,0,0,0,0,0,0
230,62.0,Normal,normal.0,185,3,0,0,0,0,3
231,62.0,Normal,normal.1,57,0,0,0,0,0,0
232,62.0,Normal,normal.2,0,0,0,0,0,0,0
233,62.0,Slow,s.0,72,0,0,0,0,0,0
234,62.0,Slow,s.1,11,0,0,0,0,0,0
235,63.0,Dangerous,Dang.0,154,2,5,0,1,0,8
236,63.0,Dangerous,Dang.1,54,0,2,0,1,0,3
237,63.0,Normal,Normal1,305,3,0,0,0,0,3
238,63.0,Slow,Slow1,145,0,0,0,0,0,0
239,63.0,Normal,normal.0,198,3,0,0,0,0,3
240,63.0,Normal,normal.1,67,0,0,0,0,0,0
241,63.0,Normal,normal.2,1,0,0,0,0,0,0
242,63.0,Slow,s.0,78,0,0,0,0,0,0
243,63.0,Slow,s.1,16,0,0,0,0,0,0
244,64.0,Dangerous,Dang.0,169,3,5,0,1,0,9
245,64.0,Dangerous,Dang.1,63,0,2,0,1,0,3
246,64.0,Normal,Normal1,317,3,0,0,0,0,3
247,64.0,Slow,Slow1,153,0,0,0,0,0,0
248,64.0,Normal,normal.0,212,3,0,0,0,0,3
249,64.0,Normal,normal.1,76,0,0,0,0,0,0
250,64.0,Normal,normal.2,4,0,0,0,0,0,0
251,64.0,Slow,s.0,85,0,0,0,0,0,0
252,64.0,Slow,s.1,21,0,0,0,0,0,0
253,65.0,Dangerous,Dang.0,185,4,5,0,1,0,10
254,65.0,Dangerous,Dang.1,72,0,2,0,1,0,3
255,65.0,Dangerous,Dang.2,0,0,0,0,0,0,0
256,65.0,Normal,Normal1,328,3,0,0,0,0,3
257,65.0,Slow,Slow1,161,0,0,0,0,0,0
258,65.0,Normal,normal.0,226,3,0,0,0,0,3
259,65.0,Normal,normal.1,86,1,0,0,0,0,1
260,65.0,Normal,normal.2,7,0,0,0,0,0,0
261,65.0,Slow,s.0,92,0,0,0,0,0,0
262,65.0,Slow,s.1,26,0,0,0,0,0,0
263,66.0,Dangerous,Dang.0,202,5,5,0,1,0,11
264,66.0,Dangerous,Dang.1,79,0,2,0,1,0,3
